Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]
1740	10.0416	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
2871	9.96166	383.476	0	9.11217	44.7655	0	9.73497	8.7828	9.57757	8.7828	8.7828	8.7828	8.7828
2872	9.96166	383.476	0	9.07697	46.8481	0	9.72989	8.73144	9.56302	8.73144	8.73144	8.73144	8.73144
2873	9.96166	383.476	0	9.04213	48.9097	0	9.72487	8.68059	9.54862	8.68059	8.68059	8.68059	8.68059
2874	9.96166	383.476	0	9.00764	50.9505	0	9.7199	8.63025	9.53436	8.63025	8.63025	8.63025	8.63025
2875	9.96166	383.476	0	8.97349	52.9708	0	9.71498	8.58042	9.52024	8.58042	8.58042	8.58042	8.58042
2876	9.96166	383.476	0	8.93969	54.9708	0	9.71011	8.53108	9.50627	8.53108	8.53108	8.53108	8.53108
2877	9.96166	383.476	0	8.90623	56.9506	0	9.70528	8.48225	9.49244	8.48225	8.48225	8.48225	8.48225
2878	9.96166	383.476	0	8.87311	58.9105	0	9.70051	8.43391	9.47874	8.43391	8.43391	8.43391	8.43391
2879	9.96166	383.476	0	8.84032	60.8506	0	9.69578	8.38605	9.46519	8.38605	8.38605	8.38605	8.38605
2880	9.96166	383.476	0	8.80785	62.7712	0	9.6911	8.33868	9.45177	8.33868	8.33868	8.33868	8.33868
2881	9.96166	383.476	0	8.77572	64.6725	0	9.68647	8.29178	9.43849	8.29178	8.29178	8.29178	8.29178
3578	29.7583	500	0	14.3241	380.359	0	24.0395	10.1991	16.6905	10.1991	10.1991	10.1991	10.1991
3579	29.7789	500	0	15.9672	630.825	0	26.5626	10.5198	21.5528	10.5198	10.5198	10.5198	10.5198
3580	29.7995	500	0	16.847	741.466	0	28.0141	10.8141	23.8639	10.8141	10.8141	10.8141	10.8141
3581	29.82	500	0	17.3977	795.471	0	28.9805	11.065	25.0959	11.065	11.065	11.065	11.065
3582	29.8404	500	0	17.7932	825.74	0	29.6905	11.2839	25.8624	11.2839	11.2839	11.2839	11.2839
3583	29.8607	500	0	18.1062	844.748	0	30.2427	11.481	26.4022	11.481	11.481	11.481	11.481
3584	29.881	500	0	18.3681	857.636	0	30.684	11.6638	26.817	11.6638	11.6638	11.6638	11.6638
3585	29.9012	500	0	18.5951	866.467	0	31.0422	11.8366	27.1488	11.8366	11.8366	11.8366	11.8366
3586	29.9214	500	0	18.7965	872.393	0	31.3351	12.0026	27.4216	12.0026	12.0026	12.0026	12.0026
3587	29.9414	500	0	18.9777	876.1	0	31.5757	12.1634	27.6496	12.1634	12.1634	12.1634	12.1634
3588	29.946	500	0	19.1431	878.025	0	31.7742	12.3204	27.8418	12.3204	12.3204	12.3204	12.3204
