Variable	Start [h]	End [h]
Variante 1 Raumlufttemperatur	5000	5100
Variante 2 Raumlufttemperatur	5000	5100
Variante 2 Lueftungswaermestrom	5000	5100
Variante 3 Raumlufttemperatur	5000	5100
Variante 3 Lueftungswaermestrom	5000	5100
Variante 4 Raumlufttemperatur	5000	5100
Variante 4 Lueftungswaermestrom	5000	5100
