Zeit [h]	Sun azimuth angle [Deg]	Sun elevation angle [Deg]	DIR_-_0	DIR_N_90	DIR_N_60	DIR_N_45	DIR_N_30	DIR_N-E_90	DIR_N-E_60	DIR_N-E_45	DIR_N-E_30	DIR_E_90	DIR_E_60	DIR_E_45	DIR_E_30	DIR_S-E_90	DIR_S-E_60	DIR_S-E_45	DIR_S-E_30	DIR_S_90	DIR_S_60	DIR_S_45	DIR_S_30	DIR_S-W_90	DIR_S-W_60	DIR_S-W_45	DIR_S-W_30	DIR_W_90	DIR_W_60	DIR_W_45	DIR_W_30	DIR_N-W_90	DIR_N-W_60	DIR_N-W_45	DIR_N-W_30	DIFF_-_0	DIFF_N_90	DIFF_N_60	DIFF_N_45	DIFF_N_30	DIFF_N-E_90	DIFF_N-E_60	DIFF_N-E_45	DIFF_N-E_30	DIFF_E_90	DIFF_E_60	DIFF_E_45	DIFF_E_30	DIFF_S-E_90	DIFF_S-E_60	DIFF_S-E_45	DIFF_S-E_30	DIFF_S_90	DIFF_S_60	DIFF_S_45	DIFF_S_30	DIFF_S-W_90	DIFF_S-W_60	DIFF_S-W_45	DIFF_S-W_30	DIFF_W_90	DIFF_W_60	DIFF_W_45	DIFF_W_30	DIFF_N-W_90	DIFF_N-W_60	DIFF_N-W_45	DIFF_N-W_30	DIFF_N-W_30
2820	177.93	51.3847	437.949	0	0	0	204.488	0	0	0	260.149	12.634	0	0	385.592	256.119	0	0	507.334	349.573	0	0	554.061	238.253	0	0	498.401	0	0	0	372.958	0	0	0	251.216	291.5	218.695	0	0	281.746	218.695	0	0	281.746	218.695	0	0	281.746	218.695	0	0	281.746	218.695	0	0	281.746	218.695	0	0	281.746	218.695	0	0	281.746	218.695	0	0	281.746	0
2821	200.875	49.8951	425.648	0	0	0	201.142	0	0	0	205.033	0	0	0	304.752	146.528	0	0	441.885	334.961	0	0	536.102	327.179	0	0	532.211	127.74	0	0	432.492	0	0	0	295.359	255.5	195.865	0	0	247.51	195.865	0	0	247.51	195.865	0	0	247.51	195.865	0	0	247.51	195.865	0	0	247.51	195.865	0	0	247.51	195.865	0	0	247.51	195.865	0	0	247.51	0
2822	221.364	45.1635	434.692	0	0	0	214.258	0	0	0	160.78	0	0	0	233.641	27.4116	0	0	390.16	324.392	0	0	538.65	431.348	0	0	592.128	285.627	0	0	519.267	0	0	0	362.749	203	165.269	0	0	197.945	165.269	0	0	197.945	165.269	0	0	197.945	165.269	0	0	197.945	165.269	0	0	197.945	165.269	0	0	197.945	165.269	0	0	197.945	165.269	0	0	197.945	0
2823	238.528	38.1657	434.719	0	0	0	232.092	0	0	0	107.595	0	0	0	140.606	0	0	0	311.787	288.771	0	0	520.863	537.766	0	0	645.36	471.745	0	0	612.35	129.383	0	0	441.169	148.5	132.572	0	0	146.366	132.572	0	0	146.366	132.572	0	0	146.366	132.572	0	0	146.366	132.572	0	0	146.366	132.572	0	0	146.366	132.572	0	0	146.366	132.572	0	0	146.366	0
2824	252.983	29.8377	407.241	0	0	0	248.787	0	0	0	39.1853	0	0	0	13.2249	0	0	0	186.113	207.787	0	0	456.574	626.991	0	0	666.176	678.913	0	0	692.137	333.137	0	0	519.249	109.5	106.424	0	0	109.088	106.424	0	0	109.088	106.424	0	0	109.088	106.424	0	0	109.088	106.424	0	0	109.088	106.424	0	0	109.088	106.424	0	0	109.088	106.424	0	0	109.088	0
2825	265.703	20.865	279.235	0	0	0	214.378	0	0	0	0	0	0	0	0	0	0	0	2.95084	54.8917	0	0	269.27	555.375	0	0	519.512	730.528	0	0	607.088	477.748	0	0	480.698	84.5	78.6235	0	0	83.7127	78.6235	0	0	83.7127	78.6235	0	0	83.7127	78.6235	0	0	83.7127	78.6235	0	0	83.7127	78.6235	0	0	83.7127	78.6235	0	0	83.7127	78.6235	0	0	83.7127	0
2826	277.544	11.7389	155.336	98.1421	0	0	183.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.4535	454.611	0	0	361.831	741.061	0	0	505.055	593.407	0	0	431.228	52.5	47.0336	0	0	51.7676	47.0336	0	0	51.7676	47.0336	0	0	51.7676	47.0336	0	0	51.7676	47.0336	0	0	51.7676	47.0336	0	0	51.7676	47.0336	0	0	51.7676	47.0336	0	0	51.7676	0
2827	289.19	2.856	19.3574	127.538	0	0	80.5332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.941	0	0	101.234	366.458	0	0	199.993	349.309	0	0	191.418	19.5	13.6357	0	0	18.7143	13.6357	0	0	18.7143	13.6357	0	0	18.7143	13.6357	0	0	18.7143	13.6357	0	0	18.7143	13.6357	0	0	18.7143	13.6357	0	0	18.7143	13.6357	0	0	18.7143	0
2828	301.192	-5.40698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0
2829	313.995	-12.6435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2830	327.884	-18.3989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2831	342.877	-22.2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2832	358.612	-23.6622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2833	14.4082	-22.6096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2834	29.5549	-19.1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2835	43.6271	-13.698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2836	56.5839	-6.66712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	0
2837	68.6759	1.46479	1.96832	27.9914	0	0	15.7003	70.496	0	0	36.9526	71.705	0	0	37.5571	30.9102	0	0	17.1597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	24.1968	0	0	37.8828	24.1968	0	0	37.8828	24.1968	0	0	37.8828	24.1968	0	0	37.8828	24.1968	0	0	37.8828	24.1968	0	0	37.8828	24.1968	0	0	37.8828	24.1968	0	0	37.8828	0
2838	80.324	10.2847	27.0488	25.0545	0	0	35.9522	121.622	0	0	84.236	146.945	0	0	96.8975	86.1899	0	0	66.5198	0	0	0	10.8978	0	0	0	0	0	0	0	0	0	0	0	0	94.5	59.4049	0	0	89.7982	59.4049	0	0	89.7982	59.4049	0	0	89.7982	59.4049	0	0	89.7982	59.4049	0	0	89.7982	59.4049	0	0	89.7982	59.4049	0	0	89.7982	59.4049	0	0	89.7982	0
2839	92.0622	19.4154	100.057	0	0	0	81.5441	193.382	0	0	183.343	283.699	0	0	228.501	207.829	0	0	190.566	10.2157	0	0	91.7596	0	0	0	0	0	0	0	0	0	0	0	0	132	89.2057	0	0	126.267	89.2057	0	0	126.267	89.2057	0	0	126.267	89.2057	0	0	126.267	89.2057	0	0	126.267	89.2057	0	0	126.267	89.2057	0	0	126.267	89.2057	0	0	126.267	0
2840	104.549	28.4709	278.161	0	0	0	176.47	259.956	0	0	370.873	496.484	0	0	489.137	442.178	0	0	461.984	128.851	0	0	305.32	0	0	0	110.917	0	0	0	0	0	0	0	19.8057	133	107.616	0	0	129.599	107.616	0	0	129.599	107.616	0	0	129.599	107.616	0	0	129.599	107.616	0	0	129.599	107.616	0	0	129.599	107.616	0	0	129.599	107.616	0	0	129.599	0
2841	118.613	36.9853	442.785	0	0	0	242.691	165.864	0	0	466.394	516.111	0	0	641.518	564.028	0	0	665.477	281.545	0	0	524.235	0	0	0	300.531	0	0	0	125.408	0	0	0	101.449	136	125.879	0	0	134.644	125.879	0	0	134.644	125.879	0	0	134.644	125.879	0	0	134.644	125.879	0	0	134.644	125.879	0	0	134.644	125.879	0	0	134.644	125.879	0	0	134.644	0
2842	135.239	44.3156	382.139	0	0	0	191.994	0	0	0	330.127	275.593	0	0	468.739	391.377	0	0	526.631	277.898	0	0	469.892	1.63069	0	0	331.758	0	0	0	193.147	0	0	0	135.254	258.5	193.314	0	0	249.767	193.314	0	0	249.767	193.314	0	0	249.767	193.314	0	0	249.767	193.314	0	0	249.767	193.314	0	0	249.767	193.314	0	0	249.767	193.314	0	0	249.767	0
2843	155.197	49.5627	211.21	0	0	0	101.219	0	0	0	151.843	75.5069	0	0	220.666	168.924	0	0	267.375	163.387	0	0	264.607	62.1412	0	0	213.983	0	0	0	145.16	0	0	0	98.4513	376.5	247.021	0	0	359.153	247.021	0	0	359.153	247.021	0	0	359.153	247.021	0	0	359.153	247.021	0	0	359.153	247.021	0	0	359.153	247.021	0	0	359.153	247.021	0	0	359.153	0
2844	177.979	51.7101	171.105	0	0	0	80.6824	0	0	0	102.136	4.76325	0	0	150.563	98.826	0	0	197.594	134.998	0	0	215.68	92.09	0	0	194.226	0	0	0	145.8	0	0	0	98.7684	382	246.311	0	0	363.821	246.311	0	0	363.821	246.311	0	0	363.821	246.311	0	0	363.821	246.311	0	0	363.821	246.311	0	0	363.821	246.311	0	0	363.821	246.311	0	0	363.821	0
2845	201.046	50.2027	135.607	0	0	0	64.7208	0	0	0	65.8181	0	0	0	97.1545	45.8682	0	0	140.373	105.437	0	0	170.158	103.243	0	0	169.061	40.57	0	0	137.724	0	0	0	94.5054	373.5	237.661	0	0	355.301	237.661	0	0	355.301	237.661	0	0	355.301	237.661	0	0	355.301	237.661	0	0	355.301	237.661	0	0	355.301	237.661	0	0	355.301	237.661	0	0	355.301	0
2846	221.605	45.4426	66.2669	0	0	0	32.9933	0	0	0	24.8206	0	0	0	35.726	3.86469	0	0	59.3212	48.7912	0	0	81.7844	65.1365	0	0	89.9571	43.3258	0	0	79.0517	0	0	0	55.4566	340	210.627	0	0	322.667	210.627	0	0	322.667	210.627	0	0	322.667	210.627	0	0	322.667	210.627	0	0	322.667	210.627	0	0	322.667	210.627	0	0	322.667	210.627	0	0	322.667	0
2847	238.79	38.4188	22.3706	0	0	0	12.0657	0	0	0	5.6772	0	0	0	7.31175	0	0	0	16.0119	14.6155	0	0	26.6812	27.3926	0	0	33.0698	24.1235	0	0	31.4353	6.72322	0	0	22.7351	273.5	166.337	0	0	259.143	166.337	0	0	259.143	166.337	0	0	259.143	166.337	0	0	259.143	166.337	0	0	259.143	166.337	0	0	259.143	166.337	0	0	259.143	166.337	0	0	259.143	0
2848	253.242	30.0738	7.51673	0	0	0	4.63835	0	0	0	0.791978	0	0	0	0.294959	0	0	0	3.43844	3.74266	0	0	8.38101	11.4354	0	0	12.2274	12.4295	0	0	12.7244	6.14251	0	0	9.58093	191.5	115.652	0	0	181.338	115.652	0	0	181.338	115.652	0	0	181.338	115.652	0	0	181.338	115.652	0	0	181.338	115.652	0	0	181.338	115.652	0	0	181.338	115.652	0	0	181.338	0
2849	265.952	21.0936	3.95882	0	0	0	3.06615	0	0	0	0	0	0	0	0	0	0	0	0.06517	0.724565	0	0	3.79072	7.75122	0	0	7.30405	10.2373	0	0	8.5471	6.72655	0	0	6.79171	94	56.7959	0	0	89.0156	56.7959	0	0	89.0156	56.7959	0	0	89.0156	56.7959	0	0	89.0156	56.7959	0	0	89.0156	56.7959	0	0	89.0156	56.7959	0	0	89.0156	56.7959	0	0	89.0156	0
2850	277.78	11.9687	7.15449	4.56868	0	0	8.48031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91161	20.4146	0	0	16.4033	33.4393	0	0	22.9156	26.8758	0	0	19.6338	31.5	19.6155	0	0	29.9078	19.6155	0	0	29.9078	19.6155	0	0	29.9078	19.6155	0	0	29.9078	19.6155	0	0	29.9078	19.6155	0	0	29.9078	19.6155	0	0	29.9078	19.6155	0	0	29.9078	0
2851	289.412	3.09412	1.48435	9.12638	0	0	5.84867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.86	0	0	7.21547	25.8989	0	0	14.2349	24.7667	0	0	13.6688	9.5	5.84844	0	0	9.01078	5.84844	0	0	9.01078	5.84844	0	0	9.01078	5.84844	0	0	9.01078	5.84844	0	0	9.01078	5.84844	0	0	9.01078	5.84844	0	0	9.01078	5.84844	0	0	9.01078	0
2852	301.398	-5.1544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2853	314.178	-12.3721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2854	328.034	-18.1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2855	342.98	-21.8914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2856	358.657	-23.3403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2857	14.3927	-22.2855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2858	29.4859	-18.8499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2859	43.5171	-13.3922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2860	56.4449	-6.3742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	2.4	0	0	3.78564	0
2861	68.5166	1.74658	0.899127	10.7988	0	0	6.17807	27.0373	0	0	14.2973	27.4377	0	0	14.4975	11.7655	0	0	6.66141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5	20.7899	0	0	32.6632	20.7899	0	0	32.6632	20.7899	0	0	32.6632	20.7899	0	0	32.6632	20.7899	0	0	32.6632	20.7899	0	0	32.6632	20.7899	0	0	32.6632	20.7899	0	0	32.6632	0
2862	80.15	10.5592	13.7439	12.613	0	0	18.209	60.2851	0	0	42.0451	72.6431	0	0	48.2241	42.4478	0	0	33.1264	0	0	0	5.59609	0	0	0	0	0	0	0	0	0	0	0	0	101.5	62.2744	0	0	96.2448	62.2744	0	0	96.2448	62.2744	0	0	96.2448	62.2744	0	0	96.2448	62.2744	0	0	96.2448	62.2744	0	0	96.2448	62.2744	0	0	96.2448	62.2744	0	0	96.2448	0
2863	91.8774	19.6878	28.9729	0	0	0	23.7649	55.3499	0	0	52.7662	80.9292	0	0	65.5558	59.1014	0	0	54.6419	2.6528	0	0	26.4176	0	0	0	0	0	0	0	0	0	0	0	0	174	107.297	0	0	165.064	107.297	0	0	165.064	107.297	0	0	165.064	107.297	0	0	165.064	107.297	0	0	165.064	107.297	0	0	165.064	107.297	0	0	165.064	107.297	0	0	165.064	0
2864	104.358	28.7473	57.9541	0	0	0	37.0903	53.8458	0	0	77.1126	102.348	0	0	101.364	90.8968	0	0	95.6381	26.1991	0	0	63.2893	0	0	0	23.2669	0	0	0	0	0	0	0	4.74135	237.5	148.296	0	0	225.549	148.296	0	0	225.549	148.296	0	0	225.549	148.296	0	0	225.549	148.296	0	0	225.549	148.296	0	0	225.549	148.296	0	0	225.549	148.296	0	0	225.549	0
2865	118.428	37.2724	159.274	0	0	0	88.1202	59.6938	0	0	167.782	184.05	0	0	229.961	200.593	0	0	238.232	99.6308	0	0	187.751	0	0	0	108.089	0	0	0	45.9105	0	0	0	37.6392	276	181.528	0	0	263.343	181.528	0	0	263.343	181.528	0	0	263.343	181.528	0	0	263.343	181.528	0	0	263.343	181.528	0	0	263.343	181.528	0	0	263.343	181.528	0	0	263.343	0
2866	135.084	44.6188	356.461	0	0	0	180.801	0	0	0	308.44	255.058	0	0	436.234	361.236	0	0	489.322	255.807	0	0	436.608	0.5296	0	0	308.969	0	0	0	181.176	0	0	0	128.087	255.5	188.946	0	0	246.583	188.946	0	0	246.583	188.946	0	0	246.583	188.946	0	0	246.583	188.946	0	0	246.583	188.946	0	0	246.583	188.946	0	0	246.583	188.946	0	0	246.583	0
2867	155.119	49.8813	534.915	0	0	0	258.799	0	0	0	385.731	189.644	0	0	558.072	423.237	0	0	674.868	408.903	0	0	667.701	155.04	0	0	540.77	0	0	0	368.428	0	0	0	251.632	215.5	182.792	0	0	211.118	182.792	0	0	211.118	182.792	0	0	211.118	182.792	0	0	211.118	182.792	0	0	211.118	182.792	0	0	211.118	182.792	0	0	211.118	182.792	0	0	211.118	0
2868	178.025	52.0312	567.609	0	0	0	270.211	0	0	0	340.44	15.2635	0	0	499.195	323.832	0	0	653.48	442.705	0	0	712.916	302.247	0	0	642.687	0	0	0	483.932	0	0	0	329.648	218	187.561	0	0	213.922	187.561	0	0	213.922	187.561	0	0	213.922	187.561	0	0	213.922	187.561	0	0	213.922	187.561	0	0	213.922	187.561	0	0	213.922	187.561	0	0	213.922	0
2869	201.214	50.5065	495.043	0	0	0	238.549	0	0	0	242.054	0	0	0	354.906	164.553	0	0	510.997	380.342	0	0	618.891	373.332	0	0	615.386	147.63	0	0	502.535	0	0	0	346.444	248.5	198.604	0	0	241.815	198.604	0	0	241.815	198.604	0	0	241.815	198.604	0	0	241.815	198.604	0	0	241.815	198.604	0	0	241.815	198.604	0	0	241.815	198.604	0	0	241.815	0
2870	221.842	45.7183	384.089	0	0	0	193.103	0	0	0	145.627	0	0	0	207.695	20.6352	0	0	342.948	279.055	0	0	472.158	374.009	0	0	519.635	249.873	0	0	457.567	0	0	0	322.313	262.5	195.909	0	0	253.578	195.909	0	0	253.578	195.909	0	0	253.578	195.909	0	0	253.578	195.909	0	0	253.578	195.909	0	0	253.578	195.909	0	0	253.578	195.909	0	0	253.578	0
2871	239.048	38.6692	185.885	0	0	0	101.249	0	0	0	48.3154	0	0	0	61.3796	0	0	0	132.789	119.463	0	0	220.713	225.331	0	0	273.646	199.203	0	0	260.582	56.3843	0	0	189.173	259.5	174.288	0	0	248.084	174.288	0	0	248.084	174.288	0	0	248.084	174.288	0	0	248.084	174.288	0	0	248.084	174.288	0	0	248.084	174.288	0	0	248.084	174.288	0	0	248.084	0
2872	253.498	30.3075	36.5864	0	0	0	22.7952	0	0	0	4.18107	0	0	0	1.67819	0	0	0	16.7527	17.779	0	0	40.5743	55.0074	0	0	59.1885	60.0133	0	0	61.6914	29.8642	0	0	46.6169	223.5	137.759	0	0	212.013	137.759	0	0	212.013	137.759	0	0	212.013	137.759	0	0	212.013	137.759	0	0	212.013	137.759	0	0	212.013	137.759	0	0	212.013	137.759	0	0	212.013	0
2873	266.196	21.3201	14.9067	0	0	0	11.6426	0	0	0	0	0	0	0	0	0	0	0	0.3315	2.53382	0	0	14.1765	28.7395	0	0	27.2793	38.11	0	0	31.9645	25.1562	0	0	25.4876	158.5	96.5907	0	0	150.206	96.5907	0	0	150.206	96.5907	0	0	150.206	96.5907	0	0	150.206	96.5907	0	0	150.206	96.5907	0	0	150.206	96.5907	0	0	150.206	96.5907	0	0	150.206	0
2874	278.012	12.1964	10.88	7.01577	0	0	12.9303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.91447	30.2857	0	0	24.5652	49.8463	0	0	34.3455	40.2076	0	0	29.5262	86	52.688	0	0	81.537	52.688	0	0	81.537	52.688	0	0	81.537	52.688	0	0	81.537	52.688	0	0	81.537	52.688	0	0	81.537	52.688	0	0	81.537	52.688	0	0	81.537	0
2875	289.63	3.33021	1.4813	8.55194	0	0	5.55882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9075	0	0	6.73658	23.9775	0	0	13.2716	23.0018	0	0	12.7837	23.5	14.2481	0	0	22.2605	14.2481	0	0	22.2605	14.2481	0	0	22.2605	14.2481	0	0	22.2605	14.2481	0	0	22.2605	14.2481	0	0	22.2605	14.2481	0	0	22.2605	14.2481	0	0	22.2605	0
2876	301.6	-4.90405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0.9	0	0	1.41962	0
2877	314.357	-12.1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2878	328.18	-17.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2879	343.079	-21.5847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2880	358.7	-23.0225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2881	14.3754	-21.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2882	29.4162	-18.5371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2883	43.4072	-13.0911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2884	56.3064	-6.08608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1.8	0	0	2.83923	1.8	0	0	2.83923	1.8	0	0	2.83923	1.8	0	0	2.83923	1.8	0	0	2.83923	1.8	0	0	2.83923	1.8	0	0	2.83923	1.8	0	0	2.83923	0
2885	68.3579	2.02355	1.28882	13.4531	0	0	7.84269	33.4878	0	0	17.86	33.9058	0	0	18.0691	14.4623	0	0	8.3473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.5	17.8289	0	0	27.9364	17.8289	0	0	27.9364	17.8289	0	0	27.9364	17.8289	0	0	27.9364	17.8289	0	0	27.9364	17.8289	0	0	27.9364	17.8289	0	0	27.9364	17.8289	0	0	27.9364	0
2886	79.9765	10.8288	17.4724	15.8986	0	0	23.0808	74.8461	0	0	52.5545	89.9497	0	0	60.1064	52.3621	0	0	41.3126	0	0	0	7.18225	0	0	0	0	0	0	0	0	0	0	0	0	87.5	54.2473	0	0	83.045	54.2473	0	0	83.045	54.2473	0	0	83.045	54.2473	0	0	83.045	54.2473	0	0	83.045	54.2473	0	0	83.045	54.2473	0	0	83.045	54.2473	0	0	83.045	0
2887	91.6929	19.9551	100.849	0	0	0	83.2355	190.517	0	0	182.597	277.637	0	0	226.157	202.121	0	0	188.399	8.2056	0	0	91.4409	0	0	0	0	0	0	0	0	0	0	0	0	129	87.485	0	0	123.438	87.485	0	0	123.438	87.485	0	0	123.438	87.485	0	0	123.438	87.485	0	0	123.438	87.485	0	0	123.438	87.485	0	0	123.438	87.485	0	0	123.438	0
2888	104.168	29.0186	184.093	0	0	0	118.817	170.088	0	0	244.473	321.765	0	0	320.312	284.957	0	0	301.907	81.2249	0	0	200.042	0	0	0	74.3855	0	0	0	0	0	0	0	16.9508	187.5	130.909	0	0	179.918	130.909	0	0	179.918	130.909	0	0	179.918	130.909	0	0	179.918	130.909	0	0	179.918	130.909	0	0	179.918	130.909	0	0	179.918	130.909	0	0	179.918	0
