Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.1 Rücklauftemperatur [C]	Variante 10.1 Innentemperatur.Wand.Nord [C]	Variante 10.1 Innentemperatur.Wand.Süd [C]	Variante 10.1 Innentemperatur.Boden [C]	Variante 10.1 Innentemperatur.Wand.Ost [C]	Variante 10.1 Innentemperatur.Wand.West [C]	Variante 10.1 Innentemperatur.Dach [C]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.West [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.6 Raumlufttemperatur [C]	Variante 10.6 Heizleistung [W]	Variante 10.6 Kühlleistung [W]	Variante 10.6 Rücklauftemperatur [C]	Variante 10.6 Innentemperatur.Wand.Nord [C]	Variante 10.6 Innentemperatur.Wand.Süd [C]	Variante 10.6 Innentemperatur.Boden [C]	Variante 10.6 Innentemperatur.Wand.Ost [C]	Variante 10.6 Innentemperatur.Wand.West [C]	Variante 10.6 Innentemperatur.Dach [C]
0	20	0	0	0	20	20	20	20	20	0	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20	20	0	0	0	20	20	20	20	20	20
1	20	0.001	0	0	20	20	20	20	20	0.001	20	0.063	0	20	20	20	20	20	20	20	20	0.063	0	20	20	20	20	20	20	20	20.825	3134.978	0	27.5	20.044	20.044	22.013	20.044	20.044	20.044	20.767	3139.77	0	27.489	20.082	20.082	21.814	20.083	20.083	20.083	20	0	0	20	20	20	20	20	20	20
2	20	0.316	0	0	19.998	19.998	19.998	19.998	19.998	0.275	19.998	2.373	0	19.997	19.998	19.998	19.998	19.998	19.998	19.998	19.998	2.373	0	19.997	19.998	19.998	19.998	19.998	19.998	19.998	21.337	0	0	23.054	20.138	20.138	22.87	20.138	20.138	20.138	21.179	0	0	22.902	20.232	20.232	22.38	20.233	20.233	20.235	19.999	0	0	19.993	19.998	19.998	19.998	19.998	19.998	19.998
3	20	1.794	0	0	19.988	19.988	19.988	19.988	19.988	1.562	19.99	5.498	0	19.993	19.988	19.988	19.992	19.988	19.988	19.988	19.99	5.517	0	19.993	19.988	19.988	19.992	19.988	19.988	19.988	21.094	0	0	22.443	20.157	20.157	22.289	20.157	20.157	20.157	20.928	0	0	22.193	20.254	20.254	21.782	20.255	20.255	20.257	19.991	0	0	19.976	19.989	19.989	19.989	19.989	19.989	19.989
4	20	3.522	0	0	19.977	19.977	19.977	19.977	19.977	3.068	19.98	6.554	0	19.992	19.975	19.975	19.986	19.975	19.975	19.975	19.98	6.645	0	19.992	19.976	19.976	19.985	19.976	19.976	19.976	20.907	0	0	22.083	20.143	20.143	21.884	20.143	20.143	20.143	20.751	0	0	21.792	20.234	20.234	21.407	20.235	20.235	20.237	19.975	0	0	19.953	19.971	19.971	19.972	19.971	19.971	19.971
5	20	4.714	0	0	19.97	19.97	19.97	19.97	19.97	4.105	19.974	6.453	0	19.992	19.966	19.966	19.983	19.966	19.966	19.966	19.973	6.661	0	19.992	19.967	19.967	19.98	19.967	19.967	19.967	20.772	0	0	21.838	20.115	20.115	21.615	20.115	20.115	20.115	20.626	0	0	21.53	20.2	20.2	21.168	20.201	20.201	20.202	19.953	0	0	19.924	19.947	19.947	19.948	19.947	19.947	19.947
6	20	5.378	0	0	19.965	19.965	19.965	19.965	19.965	4.684	19.97	5.968	0	19.993	19.961	19.961	19.981	19.961	19.961	19.961	19.969	6.299	0	19.992	19.962	19.962	19.978	19.962	19.962	19.962	20.668	0	0	21.655	20.079	20.079	21.425	20.079	20.079	20.079	20.53	0	0	21.339	20.16	20.16	21.001	20.161	20.161	20.162	19.925	0	0	19.893	19.919	19.919	19.92	19.919	19.919	19.919
7	20	5.699	0	0	19.963	19.963	19.963	19.963	19.963	4.964	19.968	5.396	0	19.994	19.958	19.958	19.981	19.958	19.958	19.958	19.967	5.834	0	19.993	19.959	19.959	19.977	19.959	19.959	19.959	20.582	0	0	21.507	20.04	20.04	21.278	20.04	20.04	20.04	20.449	0	0	21.186	20.118	20.118	20.871	20.118	20.118	20.12	19.894	0	0	19.86	19.888	19.888	19.889	19.888	19.888	19.888
8	20	5.821	0	0	19.962	19.962	19.962	19.962	19.962	5.07	19.967	4.844	0	19.994	19.956	19.956	19.982	19.956	19.956	19.956	19.966	5.366	0	19.994	19.958	19.958	19.977	19.958	19.958	19.958	20.506	0	0	21.378	19.999	19.999	21.157	19.999	19.999	19.999	20.377	0	0	21.054	20.075	20.075	20.762	20.075	20.075	20.077	19.862	0	0	19.825	19.854	19.854	19.855	19.854	19.854	19.854
9	20	5.829	0	0	19.962	19.962	19.962	19.962	19.962	5.077	19.967	4.347	0	19.995	19.956	19.956	19.982	19.956	19.956	19.956	19.966	4.934	0	19.994	19.957	19.957	19.977	19.957	19.957	19.957	20.435	0	0	21.262	19.958	19.958	21.049	19.958	19.958	19.958	20.31	0	0	20.934	20.031	20.031	20.665	20.032	20.032	20.033	19.826	0	0	19.788	19.819	19.819	19.82	19.819	19.819	19.819
10	20	5.775	0	0	19.963	19.963	19.963	19.963	19.963	5.03	19.967	3.914	0	19.995	19.955	19.955	19.983	19.955	19.955	19.955	19.966	4.549	0	19.995	19.957	19.957	19.978	19.957	19.957	19.957	20.368	0	0	21.153	19.916	19.916	20.95	19.916	19.916	19.916	20.246	0	0	20.823	19.988	19.988	20.575	19.989	19.989	19.99	19.789	0	0	19.749	19.781	19.781	19.782	19.781	19.781	19.781
11	20	5.688	0	0	19.963	19.963	19.963	19.963	19.963	4.954	19.968	3.544	0	19.996	19.955	19.955	19.984	19.955	19.955	19.955	19.966	4.214	0	19.995	19.957	19.957	19.978	19.957	19.957	19.957	20.304	0	0	21.049	19.874	19.874	20.857	19.874	19.874	19.874	20.184	0	0	20.718	19.944	19.944	20.489	19.945	19.945	19.946	19.751	0	0	19.71	19.742	19.742	19.744	19.742	19.742	19.742
12	20	5.582	0	0	19.964	19.964	19.964	19.964	19.964	4.862	19.968	3.231	0	19.996	19.956	19.956	19.984	19.956	19.956	19.956	19.967	3.925	0	19.995	19.958	19.958	19.979	19.958	19.958	19.958	20.241	0	0	20.949	19.832	19.832	20.767	19.832	19.832	19.832	20.124	0	0	20.618	19.901	19.901	20.408	19.901	19.901	19.903	19.712	0	0	19.671	19.703	19.703	19.705	19.703	19.703	19.703
13	20	5.468	0	0	19.965	19.965	19.965	19.965	19.965	4.762	19.969	2.967	0	19.996	19.956	19.956	19.985	19.956	19.956	19.956	19.967	3.678	0	19.996	19.958	19.958	19.979	19.958	19.958	19.958	20.18	0	0	20.852	19.79	19.79	20.681	19.79	19.79	19.79	20.065	0	0	20.521	19.857	19.857	20.329	19.858	19.858	19.859	19.673	0	0	19.634	19.665	19.665	19.667	19.665	19.665	19.665
14	20	5.35	0	0	19.965	19.965	19.965	19.965	19.965	4.66	19.969	2.744	0	19.997	19.956	19.956	19.985	19.956	19.956	19.956	19.968	3.468	0	19.996	19.959	19.959	19.98	19.959	19.959	19.959	20.119	0	0	20.758	19.747	19.747	20.596	19.747	19.747	19.747	20.007	0	0	20.429	19.813	19.813	20.253	19.814	19.814	19.815	19.637	0	0	19.601	19.629	19.629	19.631	19.629	19.629	19.629
15	20	5.231	0	0	19.966	19.966	19.966	19.966	19.966	4.556	19.969	2.558	0	19.997	19.957	19.957	19.986	19.957	19.957	19.957	19.968	3.288	0	19.996	19.959	19.959	19.98	19.959	19.959	19.959	20.059	0	0	20.667	19.704	19.704	20.514	19.704	19.704	19.704	20.698	3070.904	0	27.653	19.849	19.849	21.947	19.85	19.85	19.852	19.603	0	0	19.57	19.596	19.596	19.597	19.596	19.596	19.596
16	20	5.113	0	0	19.967	19.967	19.967	19.967	19.967	4.453	19.97	2.401	0	19.997	19.957	19.957	19.986	19.957	19.957	19.957	19.969	3.134	0	19.996	19.96	19.96	19.981	19.96	19.96	19.96	20	0	0	20.578	19.662	19.662	20.434	19.662	19.662	19.662	21.045	0	0	23.093	19.953	19.953	22.429	19.954	19.954	19.957	19.572	0	0	19.542	19.566	19.566	19.567	19.566	19.566	19.566
17	20	4.997	0	0	19.968	19.968	19.968	19.968	19.968	4.352	19.97	2.268	0	19.997	19.958	19.958	19.987	19.958	19.958	19.958	19.969	3.001	0	19.996	19.96	19.96	19.981	19.96	19.96	19.96	21.101	0	0	24.711	19.692	19.692	23.052	19.692	19.692	19.692	20.756	0	0	22.341	19.942	19.942	21.788	19.943	19.943	19.946	19.544	0	0	19.516	19.538	19.538	19.539	19.538	19.538	19.538
18	20	4.883	0	0	19.968	19.968	19.968	19.968	19.968	4.253	19.971	2.156	0	19.997	19.958	19.958	19.987	19.958	19.958	19.958	19.97	2.887	0	19.997	19.961	19.961	19.981	19.961	19.961	19.961	21.117	0	0	23.185	19.722	19.722	22.901	19.722	19.722	19.722	20.553	0	0	21.902	19.903	19.903	21.378	19.905	19.905	19.907	19.518	0	0	19.491	19.512	19.512	19.513	19.512	19.512	19.512
19	20	4.77	0	0	19.969	19.969	19.969	19.969	19.969	4.155	19.971	2.061	0	19.998	19.958	19.958	19.987	19.958	19.958	19.958	19.97	2.787	0	19.997	19.961	19.961	19.982	19.961	19.961	19.961	20.848	0	0	22.625	19.702	19.702	22.315	19.702	19.702	19.702	20.41	0	0	21.608	19.859	19.859	21.112	19.861	19.861	19.863	19.493	0	0	19.467	19.487	19.487	19.488	19.487	19.487	19.487
20	20	4.661	0	0	19.97	19.97	19.97	19.97	19.97	4.059	19.971	1.98	0	19.998	19.959	19.959	19.987	19.959	19.959	19.959	19.971	2.7	0	19.997	19.962	19.962	19.982	19.962	19.962	19.962	20.653	0	0	22.267	19.668	19.668	21.916	19.668	19.668	19.668	20.302	0	0	21.389	19.815	19.815	20.923	19.816	19.816	19.819	19.468	0	0	19.441	19.462	19.462	19.463	19.462	19.462	19.462
21	20	4.553	0	0	19.971	19.971	19.971	19.971	19.971	3.966	19.972	1.911	0	19.998	19.959	19.959	19.988	19.959	19.959	19.959	19.971	2.623	0	19.997	19.962	19.962	19.982	19.962	19.962	19.962	20.511	0	0	22.01	19.63	19.63	21.643	19.63	19.63	19.63	20.212	0	0	21.21	19.772	19.772	20.775	19.773	19.773	19.775	19.442	0	0	19.413	19.436	19.436	19.437	19.436	19.436	19.436
22	20	4.449	0	0	19.971	19.971	19.971	19.971	19.971	3.875	19.972	1.851	0	19.998	19.96	19.96	19.988	19.96	19.96	19.96	19.971	2.554	0	19.997	19.963	19.963	19.983	19.963	19.963	19.963	20.4	0	0	21.808	19.592	19.592	21.441	19.592	19.592	19.592	20.134	0	0	21.054	19.73	19.73	20.65	19.731	19.731	19.733	19.414	0	0	19.384	19.408	19.408	19.409	19.408	19.408	19.408
23	20	4.346	0	0	19.972	19.972	19.972	19.972	19.972	3.785	19.972	1.799	0	19.998	19.96	19.96	19.988	19.96	19.96	19.96	19.972	2.492	0	19.997	19.963	19.963	19.983	19.963	19.963	19.963	20.308	0	0	21.639	19.554	19.554	21.28	19.554	19.554	19.554	20.062	0	0	20.914	19.689	19.689	20.539	19.69	19.69	19.692	19.385	0	0	19.354	19.379	19.379	19.38	19.379	19.379	19.379
24	20	4.246	0	0	19.973	19.973	19.973	19.973	19.973	3.698	19.973	1.753	0	19.998	19.961	19.961	19.988	19.961	19.961	19.961	19.972	2.437	0	19.997	19.964	19.964	19.983	19.964	19.964	19.964	20.226	0	0	21.488	19.515	19.515	21.142	19.515	19.515	19.515	19.994	0	0	20.783	19.648	19.648	20.436	19.649	19.649	19.651	19.355	0	0	19.321	19.348	19.348	19.349	19.348	19.348	19.348
25	20	4.148	0	0	19.973	19.973	19.973	19.973	19.973	3.613	19.973	1.713	0	19.998	19.961	19.961	19.988	19.961	19.961	19.961	19.973	2.386	0	19.997	19.964	19.964	19.984	19.964	19.964	19.964	20.15	0	0	21.35	19.477	19.477	21.018	19.477	19.477	19.477	20.98	0	0	24.785	19.738	19.738	22.696	19.739	19.739	19.742	19.323	0	0	19.287	19.315	19.315	19.317	19.315	19.315	19.315
26	20	4.053	0	0	19.974	19.974	19.974	19.974	19.974	3.53	19.973	1.677	0	19.998	19.961	19.961	19.988	19.961	19.961	19.961	19.973	2.339	0	19.997	19.965	19.965	19.984	19.965	19.965	19.965	20.079	0	0	21.22	19.439	19.439	20.903	19.439	19.439	19.439	20.926	0	0	23.111	19.802	19.802	22.354	19.804	19.804	19.808	19.288	0	0	19.25	19.281	19.281	19.282	19.281	19.281	19.281
27	20	3.959	0	0	19.974	19.974	19.974	19.974	19.974	3.448	19.973	1.645	0	19.998	19.962	19.962	19.989	19.962	19.962	19.962	19.973	2.295	0	19.997	19.965	19.965	19.984	19.965	19.965	19.965	20.01	0	0	21.096	19.401	19.401	20.795	19.401	19.401	19.401	20.656	0	0	22.453	19.783	19.783	21.766	19.785	19.785	19.788	19.252	0	0	19.212	19.244	19.244	19.245	19.244	19.244	19.244
28	20	3.868	0	0	19.975	19.975	19.975	19.975	19.975	3.369	19.974	1.616	0	19.998	19.962	19.962	19.989	19.962	19.962	19.962	19.974	2.254	0	19.997	19.966	19.966	19.984	19.966	19.966	19.966	20.712	2933.243	0	27.983	19.404	19.404	22.567	19.404	19.404	19.404	20.469	0	0	22.041	19.745	19.745	21.392	19.747	19.747	19.75	19.213	0	0	19.171	19.205	19.205	19.206	19.205	19.205	19.205
29	20	3.779	0	0	19.976	19.976	19.976	19.976	19.976	3.291	19.974	1.59	0	19.998	19.962	19.962	19.989	19.962	19.962	19.962	19.974	2.216	0	19.997	19.966	19.966	19.984	19.966	19.966	19.966	21.127	0	0	23.719	19.456	19.456	23.271	19.456	19.456	19.456	20.334	0	0	21.751	19.704	19.704	21.139	19.705	19.705	19.709	19.173	0	0	19.13	19.164	19.164	19.166	19.164	19.164	19.164
30	20	3.692	0	0	19.976	19.976	19.976	19.976	19.976	3.215	19.974	1.565	0	19.998	19.963	19.963	19.989	19.963	19.963	19.963	19.974	2.179	0	19.997	19.967	19.967	19.985	19.967	19.967	19.967	20.847	0	0	23.06	19.446	19.446	22.643	19.446	19.446	19.446	20.228	0	0	21.525	19.663	19.663	20.952	19.665	19.665	19.667	19.132	0	0	19.088	19.123	19.123	19.125	19.123	19.123	19.123
31	20	3.607	0	0	19.977	19.977	19.977	19.977	19.977	3.141	19.974	1.543	0	19.998	19.963	19.963	19.989	19.963	19.963	19.963	19.975	2.145	0	19.997	19.967	19.967	19.985	19.967	19.967	19.967	20.633	0	0	22.649	19.419	19.419	22.193	19.419	19.419	19.419	20.139	0	0	21.334	19.623	19.623	20.8	19.624	19.624	19.627	19.09	0	0	19.045	19.081	19.081	19.082	19.081	19.081	19.081
32	20	3.523	0	0	19.977	19.977	19.977	19.977	19.977	3.069	19.975	1.522	0	19.998	19.964	19.964	19.989	19.964	19.964	19.964	19.975	2.112	0	19.997	19.967	19.967	19.985	19.967	19.967	19.967	20.477	0	0	22.353	19.386	19.386	21.883	19.386	19.386	19.386	20.059	0	0	21.165	19.584	19.584	20.668	19.585	19.585	19.588	19.047	0	0	19.002	19.038	19.038	19.04	19.038	19.038	19.038
33	20	3.442	0	0	19.978	19.978	19.978	19.978	19.978	2.998	19.975	1.502	0	19.998	19.964	19.964	19.989	19.964	19.964	19.964	19.975	2.08	0	19.998	19.968	19.968	19.985	19.968	19.968	19.968	20.357	0	0	22.121	19.351	19.351	21.653	19.351	19.351	19.351	19.986	0	0	21.011	19.545	19.545	20.55	19.546	19.546	19.549	19.004	0	0	18.959	18.995	18.995	18.997	18.995	18.995	18.995
34	20	3.363	0	0	19.978	19.978	19.978	19.978	19.978	2.929	19.975	1.483	0	19.998	19.964	19.964	19.989	19.964	19.964	19.964	19.976	2.049	0	19.998	19.968	19.968	19.986	19.968	19.968	19.968	20.257	0	0	21.926	19.317	19.317	21.47	19.317	19.317	19.317	20.995	2718.009	0	28.498	19.639	19.639	22.89	19.641	19.641	19.645	18.961	0	0	18.916	18.952	18.952	18.953	18.952	18.952	18.952
35	20	3.285	0	0	19.979	19.979	19.979	19.979	19.979	2.862	19.975	1.465	0	19.998	19.965	19.965	19.99	19.965	19.965	19.965	19.976	2.019	0	19.998	19.969	19.969	19.986	19.969	19.969	19.969	20.169	0	0	21.753	19.282	19.282	21.313	19.282	19.282	19.282	21.211	0	0	24.07	19.755	19.755	23.062	19.758	19.758	19.762	18.918	0	0	18.874	18.909	18.909	18.911	18.909	18.909	18.909
36	20	3.21	0	0	19.979	19.979	19.979	19.979	19.979	2.796	19.976	1.448	0	19.998	19.965	19.965	19.99	19.965	19.965	19.965	19.976	1.99	0	19.998	19.969	19.969	19.986	19.969	19.969	19.969	20.088	0	0	21.594	19.248	19.248	21.173	19.248	19.248	19.248	20.876	0	0	23.191	19.75	19.75	22.307	19.753	19.753	19.757	18.876	0	0	18.833	18.867	18.867	18.869	18.867	18.867	18.867
37	20	3.136	0	0	19.98	19.98	19.98	19.98	19.98	2.731	19.976	1.431	0	19.998	19.965	19.965	19.99	19.965	19.965	19.965	19.977	1.961	0	19.998	19.97	19.97	19.986	19.97	19.97	19.97	20.012	0	0	21.445	19.213	19.213	21.043	19.213	19.213	19.213	20.643	0	0	22.66	19.717	19.717	21.824	19.719	19.719	19.723	18.835	0	0	18.794	18.827	18.827	18.828	18.827	18.827	18.827
38	20	3.063	0	0	19.98	19.98	19.98	19.98	19.98	2.668	19.976	1.415	0	19.998	19.966	19.966	19.99	19.966	19.966	19.966	19.977	1.934	0	19.998	19.97	19.97	19.986	19.97	19.97	19.97	20.689	2865.982	0	28.144	19.218	19.218	22.751	19.218	19.218	19.218	20.48	0	0	22.294	19.678	19.678	21.506	19.68	19.68	19.684	18.797	0	0	18.759	18.789	18.789	18.79	18.789	18.789	18.789
39	20	2.993	0	0	19.981	19.981	19.981	19.981	19.981	2.607	19.976	1.4	0	19.998	19.966	19.966	19.99	19.966	19.966	19.966	19.977	1.907	0	19.998	19.97	19.97	19.986	19.97	19.97	19.97	21.087	0	0	23.955	19.271	19.271	23.419	19.271	19.271	19.271	20.357	0	0	22.015	19.639	19.639	21.276	19.641	19.641	19.645	18.761	0	0	18.726	18.754	18.754	18.755	18.754	18.754	18.754
40	20	2.924	0	0	19.981	19.981	19.981	19.981	19.981	2.547	19.977	1.384	0	19.998	19.966	19.966	19.99	19.966	19.966	19.966	19.978	1.88	0	19.998	19.971	19.971	19.987	19.971	19.971	19.971	20.807	0	0	23.29	19.264	19.264	22.789	19.264	19.264	19.264	20.255	0	0	21.784	19.601	19.601	21.093	19.603	19.603	19.607	18.728	0	0	18.697	18.722	18.722	18.723	18.722	18.722	18.722
41	20	2.857	0	0	19.982	19.982	19.982	19.982	19.982	2.488	19.977	1.37	0	19.998	19.967	19.967	19.99	19.967	19.967	19.967	19.978	1.855	0	19.998	19.971	19.971	19.987	19.971	19.971	19.971	20.592	0	0	22.867	19.239	19.239	22.333	19.239	19.239	19.239	20.167	0	0	21.582	19.564	19.564	20.939	19.566	19.566	19.569	18.698	0	0	18.669	18.692	18.692	18.694	18.692	18.692	18.692
42	20	2.791	0	0	19.982	19.982	19.982	19.982	19.982	2.431	19.977	1.355	0	19.998	19.967	19.967	19.99	19.967	19.967	19.967	19.978	1.829	0	19.998	19.972	19.972	19.987	19.972	19.972	19.972	20.435	0	0	22.558	19.209	19.209	22.014	19.209	19.209	19.209	20.086	0	0	21.398	19.528	19.528	20.801	19.529	19.529	19.533	18.671	0	0	18.643	18.665	18.665	18.666	18.665	18.665	18.665
43	20	2.726	0	0	19.982	19.982	19.982	19.982	19.982	2.375	19.977	1.341	0	19.998	19.967	19.967	19.99	19.967	19.967	19.967	19.979	1.804	0	19.998	19.972	19.972	19.987	19.972	19.972	19.972	20.312	0	0	22.313	19.178	19.178	21.775	19.178	19.178	19.178	20.01	0	0	21.228	19.491	19.491	20.674	19.493	19.493	19.496	18.645	0	0	18.618	18.639	18.639	18.64	18.639	18.639	18.639
44	20	2.664	0	0	19.983	19.983	19.983	19.983	19.983	2.32	19.978	1.327	0	19.998	19.968	19.968	19.991	19.968	19.968	19.968	19.979	1.78	0	19.998	19.972	19.972	19.987	19.972	19.972	19.972	20.209	0	0	22.104	19.146	19.146	21.581	19.146	19.146	19.146	20.647	2919.483	0	28.016	19.531	19.531	22.231	19.533	19.533	19.537	18.619	0	0	18.592	18.614	18.614	18.615	18.614	18.614	18.614
45	20	2.602	0	0	19.983	19.983	19.983	19.983	19.983	2.266	19.978	1.313	0	19.998	19.968	19.968	19.991	19.968	19.968	19.968	19.979	1.755	0	19.998	19.973	19.973	19.988	19.973	19.973	19.973	20.118	0	0	21.918	19.114	19.114	21.415	19.114	19.114	19.114	21.277	0	0	24.518	19.682	19.682	23.32	19.685	19.685	19.69	18.593	0	0	18.566	18.588	18.588	18.589	18.588	18.588	18.588
46	20	2.542	0	0	19.984	19.984	19.984	19.984	19.984	2.214	19.978	1.3	0	19.998	19.968	19.968	19.991	19.968	19.968	19.968	19.979	1.732	0	19.998	19.973	19.973	19.988	19.973	19.973	19.973	20.034	0	0	21.746	19.082	19.082	21.265	19.082	19.082	19.082	20.936	0	0	23.473	19.695	19.695	22.515	19.698	19.698	19.703	18.567	0	0	18.538	18.561	18.561	18.562	18.561	18.561	18.561
47	20	2.484	0	0	19.984	19.984	19.984	19.984	19.984	2.163	19.978	1.287	0	19.998	19.969	19.969	19.991	19.969	19.969	19.969	19.98	1.708	0	19.998	19.973	19.973	19.988	19.973	19.973	19.973	20.288	3122.868	0	27.529	19.064	19.064	22.039	19.064	19.064	19.064	20.679	0	0	22.873	19.667	19.667	21.97	19.67	19.67	19.675	18.539	0	0	18.51	18.533	18.533	18.535	18.533	18.533	18.533
48	20	2.426	0	0	19.984	19.984	19.984	19.984	19.984	2.113	19.978	1.274	0	19.998	19.969	19.969	19.991	19.969	19.969	19.969	19.98	1.685	0	19.998	19.974	19.974	19.988	19.974	19.974	19.974	21.11	0	0	24.401	19.128	19.128	23.674	19.128	19.128	19.128	20.502	0	0	22.468	19.63	19.63	21.617	19.633	19.633	19.637	18.512	0	0	18.483	18.506	18.506	18.507	18.506	18.506	18.506
49	20	2.37	0	0	19.985	19.985	19.985	19.985	19.985	2.065	19.979	1.261	0	19.998	19.969	19.969	19.991	19.969	19.969	19.969	19.98	1.662	0	19.998	19.974	19.974	19.988	19.974	19.974	19.974	20.843	0	0	23.605	19.133	19.133	23.04	19.133	19.133	19.133	20.37	0	0	22.164	19.592	19.592	21.365	19.595	19.595	19.599	18.484	0	0	18.455	18.478	18.478	18.479	18.478	18.478	18.478
50	20	2.316	0	0	19.985	19.985	19.985	19.985	19.985	2.017	19.979	1.248	0	19.999	19.97	19.97	19.991	19.97	19.97	19.97	19.98	1.64	0	19.998	19.974	19.974	19.988	19.974	19.974	19.975	20.61	0	0	23.132	19.113	19.113	22.536	19.113	19.113	19.113	20.263	0	0	21.915	19.556	19.556	21.169	19.558	19.558	19.562	18.456	0	0	18.426	18.45	18.45	18.451	18.45	18.45	18.45
51	20	2.262	0	0	19.985	19.985	19.985	19.985	19.985	1.971	19.979	1.235	0	19.999	19.97	19.97	19.991	19.97	19.97	19.97	19.981	1.618	0	19.998	19.975	19.975	19.988	19.975	19.975	19.975	20.439	0	0	22.792	19.086	19.086	22.183	19.086	19.086	19.086	20.17	0	0	21.699	19.52	19.52	21.004	19.522	19.522	19.526	18.427	0	0	18.398	18.421	18.421	18.423	18.421	18.421	18.421
52	20	2.21	0	0	19.986	19.986	19.986	19.986	19.986	1.925	19.979	1.223	0	19.999	19.97	19.97	19.991	19.97	19.97	19.97	19.981	1.596	0	19.998	19.975	19.975	19.989	19.975	19.975	19.975	20.307	0	0	22.523	19.056	19.056	21.921	19.056	19.056	19.056	20.086	0	0	21.505	19.484	19.484	20.858	19.486	19.486	19.49	18.399	0	0	18.369	18.393	18.393	18.394	18.393	18.393	18.393
53	20	2.159	0	0	19.986	19.986	19.986	19.986	19.986	1.881	19.98	1.211	0	19.999	19.97	19.97	19.991	19.97	19.97	19.97	19.981	1.575	0	19.998	19.975	19.975	19.989	19.975	19.975	19.976	20.198	0	0	22.297	19.026	19.026	21.711	19.026	19.026	19.026	20.008	0	0	21.325	19.449	19.449	20.724	19.451	19.451	19.455	18.37	0	0	18.34	18.364	18.364	18.365	18.364	18.364	18.364
54	20	2.11	0	0	19.986	19.986	19.986	19.986	19.986	1.837	19.98	1.198	0	19.999	19.971	19.971	19.991	19.971	19.971	19.971	19.982	1.554	0	19.998	19.976	19.976	19.989	19.976	19.976	19.976	20.102	0	0	22.096	18.996	18.996	21.531	18.996	18.996	18.996	20.638	2901.354	0	28.059	19.489	19.489	22.265	19.492	19.492	19.496	18.341	0	0	18.311	18.335	18.335	18.336	18.335	18.335	18.335
55	20	2.061	0	0	19.987	19.987	19.987	19.987	19.987	1.795	19.98	1.186	0	19.999	19.971	19.971	19.992	19.971	19.971	19.971	19.982	1.533	0	19.998	19.976	19.976	19.989	19.976	19.976	19.976	20.015	0	0	21.911	18.966	18.966	21.37	18.966	18.966	18.966	21.262	0	0	24.574	19.64	19.64	23.341	19.643	19.643	19.648	18.312	0	0	18.281	18.305	18.305	18.307	18.305	18.305	18.305
56	20	2.013	0	0	19.987	19.987	19.987	19.987	19.987	1.754	19.98	1.175	0	19.999	19.971	19.971	19.992	19.971	19.971	19.971	19.982	1.512	0	19.998	19.976	19.976	19.989	19.976	19.976	19.976	20.989	0	0	25.584	19.002	19.002	23.678	19.002	19.002	19.002	20.922	0	0	23.528	19.654	19.654	22.536	19.657	19.657	19.662	18.282	0	0	18.251	18.276	18.276	18.277	18.276	18.276	18.276
