Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4697	40.82	0	0	38.239	0	0	38.205	0	0	35.528	0	0
4698	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4699	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4700	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4701	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4702	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4703	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4704	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4705	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4706	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4707	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4708	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4709	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4710	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4711	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4712	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4713	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4714	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4715	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4716	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4717	40.82	0	0	38.239	0	0	40.424	0	0	35.5855	0	0
4718	40.82	0	0	38.239	0	0	41.0775	0	0	35.7225	0	0
4719	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4720	40.82	0	0	38.239	0	0	40.297	0	0	35.7495	0	0
4721	40.82	0	0	38.239	0	0	38.205	0	0	35.528	0	0
4722	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4723	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4724	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4725	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4726	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4727	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4728	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4729	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4730	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4731	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4732	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4733	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4734	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4735	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4736	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4737	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4738	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4739	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4740	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4741	40.82	0	0	38.239	0	0	40.424	0	0	35.5855	0	0
4742	40.82	0	0	38.239	0	0	41.0775	0	0	35.7225	0	0
4743	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4744	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4745	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4746	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4747	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4748	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4749	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4750	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4751	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4752	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4753	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4754	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4755	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4756	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4757	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4758	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4759	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4760	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4761	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4762	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4763	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4764	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4765	40.82	0	0	38.239	0	0	40.424	0	0	35.5855	0	0
4766	40.82	0	0	38.239	0	0	41.0775	0	0	35.7225	0	0
4767	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4768	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4769	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4770	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4771	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4772	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4773	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4774	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4775	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4776	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4777	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4778	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4779	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4780	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4781	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4782	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4783	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4784	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4785	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4786	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4787	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4788	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4789	40.82	0	0	38.239	0	0	40.424	0	0	35.5855	0	0
4790	40.82	0	0	38.239	0	0	41.0775	0	0	35.7225	0	0
4791	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4792	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4793	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4794	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4795	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4796	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4797	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4798	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4799	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4800	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4801	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4802	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4803	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4804	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4805	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4806	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4807	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4808	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4809	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4810	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4811	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4812	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4813	40.82	0	0	38.239	0	0	40.424	0	0	35.5855	0	0
4814	40.82	0	0	38.239	0	0	41.0775	0	0	35.7225	0	0
4815	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4816	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4817	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4818	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4819	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4820	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4821	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4822	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4823	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4824	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4825	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4826	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4827	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4828	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4829	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4830	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4831	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4832	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4833	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4834	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4835	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4836	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4837	40.82	0	0	38.239	0	0	40.424	0	0	35.5855	0	0
4838	40.82	0	0	38.239	0	0	41.0775	0	0	35.7225	0	0
4839	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4840	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4841	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4842	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4843	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4844	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4845	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4846	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4847	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4848	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4849	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
