Variable	Start	End
Variante 1 Raumlufttemperatur	5000	5200	
Variante 2 Raumlufttemperatur	5000	5200
Variante 2 Lueftungswaermestrom	5000	5200
Variante 3 Raumlufttemperatur	5000	5200
Variante 3 Lueftungswaermestrom	5000	5200
Variante 4 Raumlufttemperatur	5000	5200
Variante 4 Lueftungswaermestrom	5000	5200
