Variable	Start [h]	End [h]
Variante 7.1 Raumlufttemperatur	3600	4300
Variante 7.1 Wärmeleitung Fenster	3600	4300
Variante 7.2 Raumlufttemperatur	3600	4300
Variante 7.2 Trans.Strahlung Fenster	3600	4300
Variante 7.2 Wärmeleitung Fenster	3600	4300
Variante 7.3 Raumlufttemperatur	3600	4300
Variante 7.3 Trans.Strahlung Fenster	3600	4300
Variante 7.3 Wärmeleitung Fenster	3600	4300
