Zeit [h]	Variante 7.1 Raumlufttemperatur [C]	Variante 7.1 Trans.Strahlung Fenster [W/m2]	Variante 7.1 Wärmeleitung Fenster [W/m2]	Variante 7.2 Raumlufttemperatur [C]	Variante 7.2 Trans.Strahlung Fenster [W/m2]	Variante 7.2 Wärmeleitung Fenster [W/m2]	Variante 7.3 Raumlufttemperatur [C]	Variante 7.3 Trans.Strahlung Fenster [W/m2]	Variante 7.3 Wärmeleitung Fenster [W/m2]	Variante 7.4 Raumlufttemperatur [C]	Variante 7.4 Trans.Strahlung Fenster [W/m2]	Variante 7.4 Wärmeleitung Fenster [W/m2]	Variante 7.5 Raumlufttemperatur [C]	Variante 7.5 Trans.Strahlung Fenster [W/m2]	Variante 7.5 Wärmeleitung Fenster [W/m2]	Variante 7.6 Raumlufttemperatur [C]	Variante 7.6 Trans.Strahlung Fenster [W/m2]	Variante 7.6 Wärmeleitung Fenster [W/m2]
42	0	0	0	0	0	0	19.832	0	2.314384921	21.859	0	-2.285714286	21.957	0	-1.462063492	21.42	0	-6.785119048
43	0	0	0	0	0	0	19.83	0	2.313095238	21.851	0	-2.273809524	21.949	0	-1.455615079	21.409	0	-6.76547619
44	0	0	0	0	0	0	19.829	0	2.311838624	21.843	0	-2.261904762	21.941	0	-1.449186508	21.397	0	-6.746031746
45	0	0	0	0	0	0	19.827	0	2.310548942	21.835	0	-2.250198413	21.933	0	-1.442797619	21.386	0	-6.726785714
46	0	0	0	0	0	0	19.826	0	2.309325397	21.827	0	-2.238690476	21.925	0	-1.436448413	21.375	0	-6.707539683
47	0	0	0	0	0	0	19.824	0	2.308035714	21.818	0	-2.226984127	21.917	0	-1.430119048	21.364	0	-6.688492063
48	0	0	0	0	0	0	19.823	0	2.306779101	21.81	0	-2.21547619	21.909	0	-1.423829365	21.353	0	-6.669444444
49	0	0	0	0	0	0	19.821	0	2.305555556	21.802	0	-2.203968254	21.902	0	-1.417519841	21.342	0	-6.650396825
50	0	0	0	0	0	0	19.819	0	2.304332011	21.794	0	-2.19265873	21.894	0	-1.411289683	21.331	0	-6.631547619
51	0	0	0	0	0	0	19.818	0	2.303075397	21.786	0	-2.181349206	21.886	0	-1.405079365	21.32	0	-6.612896825
52	0	0	0	0	0	0	19.816	0	2.301818783	21.779	0	-2.170039683	21.879	0	-1.398928571	21.309	0	-6.594444444
53	0	0	0	0	0	0	19.815	0	2.300595238	21.771	0	-2.158928571	21.871	0	-1.392777778	21.299	0	-6.575992063
54	0	0	0	0	0	0	19.813	0	2.299371693	21.763	0	-2.14781746	21.863	0	-1.386666667	21.288	0	-6.557738095
55	0	0	0	0	0	0	19.812	0	2.298181217	21.755	0	-2.136706349	21.856	0	-1.380595238	21.277	0	-6.539484127
56	0	0	0	0	0	0	19.811	0	2.296957672	21.747	0	-2.125793651	21.848	0	-1.374543651	21.267	0	-6.521428571
57	0	0	0	0	0	0	19.809	0	2.295734127	21.74	0	-2.114880952	21.841	0	-1.368511905	21.256	0	-6.503373016
58	0	0	0	0	0	0	19.808	0	2.294510582	21.732	0	-2.103968254	21.833	0	-1.362539683	21.246	0	-6.485515873
59	0	0	0	0	0	0	19.806	0	2.293320106	21.724	0	-2.093253968	21.826	0	-1.35656746	21.236	0	-6.467857143
60	0	0	0	0	0	0	19.805	0	2.29212963	21.717	0	-2.082539683	21.819	0	-1.350634921	21.225	0	-6.450198413
61	0	0	0	0	0	0	19.803	0	2.290939153	21.709	0	-2.071825397	21.811	0	-1.344742063	21.215	0	-6.432539683
62	0	0	0	0	0	0	19.802	0	2.289748677	21.702	0	-2.061309524	21.804	0	-1.338849206	21.205	0	-6.415079365
63	0	0	0	0	0	0	19.8	0	2.288558201	21.694	0	-2.050793651	21.797	0	-1.333015873	21.195	0	-6.39781746
64	0	0	0	0	0	0	19.799	0	2.287400794	21.687	0	-2.040277778	21.789	0	-1.327202381	21.185	0	-6.380555556
65	0	0	0	0	0	0	19.797	0	2.286243386	21.679	0	-2.029960317	21.782	0	-1.32140873	21.174	0	-6.363293651
66	0	0	0	0	0	0	19.796	0	2.285085979	21.672	0	-2.019642857	21.775	0	-1.315654762	21.164	0	-6.346230159
67	0	0	0	0	0	0	19.795	0	2.283895503	21.665	0	-2.009325397	21.768	0	-1.309920635	21.155	0	-6.329166667
68	0	0	0	0	0	0	19.793	0	2.282738095	21.657	0	-1.999007937	21.761	0	-1.304206349	21.145	0	-6.312301587
69	0	0	0	0	0	0	19.792	0	2.281613757	21.65	0	-1.988888889	21.754	0	-1.298531746	21.135	0	-6.295634921
70	0	0	0	0	0	0	19.79	0	2.280456349	21.643	0	-1.978849206	21.747	0	-1.292876984	21.125	0	-6.278968254
71	0	0	0	0	0	0	19.789	0	2.279298942	21.636	0	-1.968809524	21.74	0	-1.287261905	21.115	0	-6.262301587
72	0	0	0	0	0	0	19.788	0	2.278174603	21.629	0	-1.958849206	21.733	0	-1.281666667	21.106	0	-6.245833333
73	0	0	0	0	0	0	19.786	0	2.277050265	21.622	0	-1.949007937	21.726	0	-1.276150794	21.096	0	-6.229563492
74	0	0	0	0	0	0	19.785	0	2.275892857	21.614	0	-1.939146825	21.719	0	-1.270595238	21.086	0	-6.213293651
75	0	0	0	0	0	0	19.783	0	2.274801587	21.607	0	-1.929365079	21.712	0	-1.265079365	21.077	0	-6.19702381
