Zeit [h]	Variante 11.1 Raumlufttemperatur [C]	Variante 11.1 Strahlungstemperatur [C]	Variante 11.1 Trans.Strahlung.Fenster [W]	Variante 11.2 Raumlufttemperatur [C]	Variante 11.2 Strahlungstemperatur [C]	Variante 11.2 Heizleistung [W]	Variante 11.2 Trans.Strahlung.Fenster [W]	Variante 11.3 Raumlufttemperatur [C]	Variante 11.3 Strahlungstemperatur [C]	Variante 11.3 Heizleistung [W]	Variante 11.3 Trans.Strahlung.Fenster [W]	Variante 11.4 Raumlufttemperatur [C]	Variante 11.4 Strahlungstemperatur [C]	Variante 11.4 Heizleistung [W]	Variante 11.4 Trans.Strahlung.Fenster [W]	Variante 11.5 Raumlufttemperatur [C]	Variante 11.5 Strahlungstemperatur [C]	Variante 11.5 Heizleistung [W]	Variante 11.5 Trans.Strahlung.Fenster [W]	Variante 11.6 Raumlufttemperatur [C]	Variante 11.6 Strahlungstemperatur [C]	Variante 11.6 Heizleistung [W]	Variante 11.6 Trans.Strahlung.Fenster [W]
503	7.91803	7.91675	-5.29819e-10	20.9683	18.9229	317.041	-5.29819e-10	20.9666	18.8102	334.236	-5.38097e-10	20.9671	18.8409	329.545	-5.38097e-10	20.9606	18.834	394.554	-5.38097e-10	20.9604	18.834	395.923	-5.38097e-10
504	7.90304	7.90252	1.65568e-11	20.9682	18.913	318.542	1.65568e-11	20.9665	18.803	335.344	3.31137e-11	20.9669	18.8327	330.808	3.31137e-11	20.9602	18.8258	397.822	3.31137e-11	20.9601	18.8258	399.05	3.31137e-11
505	7.89801	7.8978	0	20.9681	18.9119	318.72	0	20.9665	18.8043	335.139	-8.27842e-12	20.9669	18.8332	330.734	-8.27842e-12	20.9602	18.8263	398.486	-8.27842e-12	20.96	18.8263	399.624	-8.27842e-12
506	7.89655	7.89653	0	20.9682	18.9135	318.466	0	20.9666	18.8084	334.511	0	20.967	18.8365	330.221	0	20.9602	18.8297	398.21	0	20.9601	18.8297	399.31	0
507	7.89127	7.89056	0	20.9681	18.9106	318.907	0	20.9666	18.8079	334.586	0	20.967	18.8353	330.403	0	20.9601	18.8285	399.155	0	20.96	18.8285	400.254	0
508	7.88219	7.88178	0	20.968	18.9055	319.69	0	20.9665	18.8051	335.012	0	20.9669	18.8319	330.929	0	20.9599	18.825	400.657	0	20.9598	18.825	401.789	0
509	7.87476	7.87417	0	20.968	18.9015	320.303	0	20.9665	18.8034	335.276	0	20.9669	18.8295	331.288	0	20.9598	18.8227	401.76	0	20.9597	18.8227	402.952	0
510	7.86805	7.86778	0	20.9679	18.8987	320.724	0	20.9665	18.8029	335.355	0	20.9674	18.8289	325.512	0	20.9604	18.822	396.491	0	20.9602	18.822	397.772	0
511	7.85641	7.85502	0	20.9678	18.89	322.051	0	20.9664	18.7964	336.349	0	20.9709	18.8269	291.056	0	20.9637	18.82	363.32	0	20.9636	18.82	364.58	0
512	7.81594	7.81199	0	20.9673	18.8544	327.493	0	20.9659	18.7628	341.464	0	20.9755	18.8025	244.691	0	20.9678	18.7956	321.931	0	20.9677	18.7956	322.983	0
513	7.82546	7.83777	236.17	20.9677	18.8855	322.778	236.17	20.9664	18.7961	336.431	236.17	20.9799	18.8463	200.832	236.17	20.9716	18.8393	284.052	236.17	20.972	18.8393	279.875	236.17
514	8.29598	8.33898	1074.8	20.9747	19.3417	253.202	1074.8	20.9709	19.0923	291.231	672.857	20.9848	19.1502	151.627	672.857	20.9763	19.1431	236.886	672.857	20.9785	19.1431	214.888	672.857
515	8.96108	8.99953	1443.59	20.9834	19.9096	166.497	1443.59	20.9759	19.422	240.897	866.205	20.99	19.4851	100.51	866.205	20.982	19.4781	179.854	866.205	20.9855	19.4781	144.518	866.205
516	9.34046	9.3566	1179.56	20.9875	20.1818	124.913	1179.56	20.9788	19.6101	212.165	707.735	20.9905	19.6745	95.0272	707.735	20.9837	19.6677	163.399	707.735	20.9873	19.6677	126.81	707.735
517	9.63488	9.65073	1248.44	20.9909	20.4015	91.3811	1248.44	20.981	19.7546	190.099	749.065	20.9926	19.8202	74.3032	749.065	20.9863	19.8135	136.929	749.065	20.9902	19.8135	98.0721	749.065
518	9.59156	9.57381	613.261	20.989	20.2808	109.725	613.261	20.9798	19.6791	201.595	369.531	20.9945	19.7496	61.303	369.531	20.9876	19.7428	124.338	369.531	20.9906	19.7428	94.0302	369.531
519	9.29137	9.27336	164.705	20.9845	19.9828	155.228	164.705	20.9776	19.5296	224.42	159.883	20.9918	19.6044	82.2209	159.883	20.9855	19.5978	145.593	159.883	20.9874	19.5978	125.652	159.883
520	9.07092	9.05964	33.3965	20.9814	19.7804	186.134	33.3965	20.9757	19.406	243.277	33.3764	20.9897	19.4842	102.8	33.3764	20.9834	19.4776	165.646	33.3764	20.9846	19.4776	153.506	33.3764
521	8.93692	8.93034	3.15475	20.9795	19.6598	204.539	3.15475	20.9744	19.3248	255.684	3.15515	20.9847	19.4011	152.61	3.15515	20.9784	19.3946	215.93	3.15515	20.9792	19.3946	208.029	3.15515
522	8.85471	8.85024	-0.0170866	20.9784	19.5846	216.029	-0.0170866	20.9737	19.2738	263.477	-0.0170927	20.9788	19.3433	211.945	-0.0170927	20.9724	19.3368	276.482	-0.0170927	20.9729	19.3368	270.881	-0.0170927
523	8.79678	8.79365	3.72369e-05	20.9776	19.5303	224.316	3.72369e-05	20.9731	19.2359	269.257	3.72503e-05	20.9743	19.2967	257.366	3.72503e-05	20.9676	19.2902	323.853	3.72503e-05	20.968	19.2902	319.771	3.72503e-05
524	8.75832	8.75641	-1.84576e-07	20.977	19.4931	229.998	-1.84576e-07	20.9727	19.2106	273.122	-1.84617e-07	20.9735	19.2658	264.88	-1.84617e-07	20.9667	19.2592	332.871	-1.84617e-07	20.967	19.2592	329.9	-1.84617e-07
525	8.72846	8.72631	6.80652e-08	20.9765	19.4616	234.812	6.80652e-08	20.9723	19.1884	276.509	6.80983e-08	20.9732	19.2404	268.552	6.80983e-08	20.9662	19.2339	338.274	6.80983e-08	20.9664	19.2339	336.076	6.80983e-08
526	8.68977	8.68685	-7.40091e-09	20.9759	19.4214	240.937	-7.40091e-09	20.9719	19.1561	281.435	-7.39263e-09	20.9726	19.206	273.826	-7.39263e-09	20.9653	19.1994	346.995	-7.39263e-09	20.9655	19.1994	345.427	-7.39263e-09
527	8.65338	8.6518	2.15239e-10	20.9754	19.3863	246.299	2.15239e-10	20.9714	19.128	285.734	1.98682e-10	20.9722	19.1761	278.384	1.98682e-10	20.9645	19.1695	354.56	1.98682e-10	20.9646	19.1695	353.579	1.98682e-10
528	8.64272	8.64288	0	20.9752	19.3751	248.022	0	20.9714	19.1231	286.479	-1.65568e-11	20.9721	19.1699	279.346	-1.65568e-11	20.9645	19.1632	355.307	-1.65568e-11	20.9645	19.1632	354.933	-1.65568e-11
529	8.62166	8.61832	0	20.9748	19.3481	252.131	0	20.971	19.1022	289.668	0	20.9717	19.1477	282.724	0	20.9639	19.141	360.615	0	20.9639	19.141	360.827	0
530	8.58848	8.58809	0	20.9743	19.3181	256.72	0	20.9707	19.0779	293.376	0	20.9713	19.1223	286.606	0	20.9633	19.1156	366.796	0	20.9632	19.1156	367.612	0
531	8.58966	8.58989	0	20.9743	19.3168	256.919	0	20.9707	19.0822	292.726	0	20.9714	19.1255	286.118	0	20.9636	19.1188	364.561	0	20.9634	19.1188	366.018	0
532	8.5839	8.58279	0	20.9742	19.3064	258.505	0	20.9707	19.0772	293.487	0	20.9713	19.1195	287.035	0	20.9635	19.1128	364.927	0	20.9633	19.1128	367	0
533	8.57539	8.57567	0	20.974	19.2966	259.999	0	20.9706	19.0727	294.18	0	20.9712	19.1139	287.877	0	20.9635	19.1073	365.087	0	20.9632	19.1073	367.769	0
534	8.57785	8.57766	0	20.974	19.2947	260.291	0	20.9706	19.0759	293.69	0	20.9713	19.1162	287.148	0	20.9638	19.1096	362.592	0	20.9634	19.1096	365.854	0
535	8.56919	8.56825	0	20.9738	19.2823	262.182	0	20.9705	19.0685	294.818	0	20.9753	19.1125	246.639	0	20.9678	19.1058	321.841	0	20.9674	19.1058	325.577	0
536	8.55695	8.55638	0	20.9736	19.2683	264.309	0	20.9704	19.0594	296.2	0	20.9806	19.1134	194.463	0	20.973	19.1067	269.72	0	20.9727	19.1067	273.57	0
537	8.68614	8.70793	417.73	20.9757	19.4053	243.455	417.73	20.9722	19.1807	277.729	337.97	20.9862	19.2453	137.745	337.97	20.9786	19.2387	213.756	337.97	20.9791	19.2387	209.007	337.97
538	9.11935	9.14875	907.641	20.9815	19.7896	184.809	907.641	20.9755	19.3976	244.613	544.865	20.9897	19.4692	102.912	544.865	20.9821	19.4626	178.677	544.865	20.9838	19.4626	162.362	544.865
539	9.52419	9.54768	1055.25	20.9865	20.1166	134.886	1055.25	20.9785	19.5927	214.821	633.148	20.9925	19.6689	75.3209	633.148	20.9852	19.6624	147.875	633.148	20.9876	19.6624	124.036	633.148
540	9.86304	9.88752	1181.48	20.9906	20.3828	94.2608	1181.48	20.981	19.7584	189.545	708.887	20.9929	19.8352	71.4679	708.887	20.9859	19.8287	140.538	708.887	20.9889	19.8287	111.494	708.887
541	10.3659	10.3956	1524.74	20.9969	20.7949	31.3507	1524.74	20.985	20.0156	150.277	914.842	20.9968	20.0937	32.3696	914.842	20.9903	20.0872	97.2201	914.842	20.9942	20.0872	58.1247	914.842
542	10.3672	10.3496	711.166	20.9952	20.6885	47.5005	711.166	20.984	19.9543	159.589	426.7	20.9983	20.037	17.1352	426.7	20.9919	20.0306	80.7577	426.7	20.9949	20.0306	50.9622	426.7
543	10.3236	10.3298	818.626	20.9945	20.637	55.409	818.626	20.9835	19.9169	165.327	491.176	20.9979	20.0037	21.3068	491.176	20.9913	19.9973	87.1412	491.176	20.994	19.9973	59.9731	491.176
544	10.2732	10.2602	472.95	20.9929	20.537	70.6308	472.95	20.9825	19.8537	174.951	288.853	20.9967	19.9434	33.2319	288.853	20.9899	19.937	100.815	288.853	20.9921	19.937	78.6932	288.853
545	9.98752	9.96696	53.7753	20.9885	20.2465	114.97	53.7753	20.9799	19.6828	201.021	49.7461	20.9901	19.7704	98.6624	49.7461	20.9831	19.764	169.435	49.7461	20.9843	19.764	157.151	49.7461
546	9.76096	9.75155	-0.188167	20.9854	20.0434	145.989	-0.188167	20.9778	19.5459	221.932	-0.206239	20.9827	19.6258	172.977	-0.206239	20.9753	19.6193	246.958	-0.206239	20.9759	19.6193	241.125	-0.206239
547	9.64708	9.64102	-0.00129301	20.9838	19.9376	162.141	-0.00129301	20.9767	19.4757	232.65	-0.00102435	20.9779	19.5465	221.592	-0.00102435	20.9702	19.54	297.759	-0.00102435	20.9705	19.54	294.797	-0.00102435
548	9.58415	9.58205	-7.05832e-06	20.9829	19.8783	171.204	-7.05832e-06	20.9762	19.4402	238.076	-6.71783e-06	20.9772	19.5055	228.111	-6.71783e-06	20.9696	19.499	304.292	-6.71783e-06	20.9697	19.499	303.219	-6.71783e-06
549	9.56327	9.56235	1.42389e-08	20.9825	19.8525	175.145	1.42389e-08	20.9761	19.4318	239.365	1.35435e-08	20.977	19.4938	229.891	1.35435e-08	20.9696	19.4874	303.626	1.35435e-08	20.9696	19.4874	303.899	1.35435e-08
550	9.54463	9.54295	5.29819e-10	20.9821	19.825	179.339	5.29819e-10	20.9759	19.418	241.467	4.80148e-10	20.9768	19.4777	232.355	4.80148e-10	20.9695	19.4712	305.064	4.80148e-10	20.9694	19.4712	306.411	4.80148e-10
551	9.522	9.52089	1.65568e-11	20.9816	19.795	183.923	1.65568e-11	20.9756	19.3995	244.283	8.27842e-12	20.9765	19.4573	235.461	8.27842e-12	20.9692	19.4509	308.187	8.27842e-12	20.969	19.4509	310.451	8.27842e-12
552	9.50423	9.50291	0	20.9812	19.7686	187.955	0	20.9753	19.3834	246.741	0	20.9762	19.4396	238.165	0	20.9689	19.4332	310.868	0	20.9686	19.4332	313.93	0
553	9.48285	9.4814	0	20.9808	19.7392	192.441	0	20.975	19.3635	249.778	0	20.9759	19.4183	241.423	0	20.9685	19.4118	314.844	0	20.9682	19.4118	318.6	0
554	9.46711	9.4666	0	20.9804	19.7164	195.912	0	20.9748	19.3498	251.878	0	20.9756	19.4032	243.729	0	20.9683	19.3968	317.154	0	20.9678	19.3968	321.541	0
555	9.46116	9.46082	0	20.9802	19.7018	198.144	0	20.9747	19.3438	252.799	0	20.9755	19.3959	244.844	0	20.9683	19.3895	317.296	0	20.9678	19.3895	322.268	0
556	9.44953	9.4483	0	20.9799	19.6809	201.333	0	20.9745	19.3312	254.721	0	20.9753	19.382	246.952	0	20.9681	19.3756	319.401	0	20.9675	19.3756	324.9	0
557	9.43614	9.43573	0	20.9796	19.6608	204.411	0	20.9744	19.319	256.572	0	20.9751	19.3688	248.982	0	20.9679	19.3624	321.419	0	20.9673	19.3624	327.402	0
558	9.42305	9.42161	0	20.9792	19.6392	207.694	0	20.9741	19.3054	258.659	0	20.9749	19.3539	251.066	0	20.9676	19.3475	323.765	0	20.967	19.3475	330.183	0
559	9.4079	9.40752	0	20.9789	19.6187	210.839	0	20.9739	19.2924	260.639	0	20.9786	19.3444	214.247	0	20.9713	19.338	287.185	0	20.9706	19.338	293.942	0
560	9.40544	9.40546	0	20.9788	19.6091	212.3	0	20.9739	19.2903	260.962	0	20.9843	19.3517	157.183	0	20.9771	19.3453	228.908	0	20.9764	19.3453	235.744	0
561	9.43249	9.43701	68.7407	20.9791	19.6302	209.083	68.7407	20.9743	19.3187	256.634	68.7407	20.9883	19.3907	116.617	68.7407	20.9814	19.3844	186.376	68.7407	20.9809	19.3844	191.516	68.7407
562	9.52305	9.52836	144.415	20.9802	19.7025	198.051	144.415	20.9755	19.3981	244.518	144.415	20.9898	19.477	101.641	144.415	20.9832	19.4707	168.196	144.415	20.983	19.4707	169.655	144.415
563	9.57417	9.58033	170.299	20.9807	19.7359	192.953	170.299	20.9762	19.4385	238.36	170.299	20.9902	19.5219	97.6294	170.299	20.9838	19.5156	161.657	170.299	20.9838	19.5156	161.976	170.299
564	9.92296	9.96246	865.03	20.9858	20.0705	141.952	865.03	20.9794	19.6506	206.014	535.292	20.9912	19.7344	87.6734	535.292	20.9851	19.7282	148.982	535.292	20.9862	19.7282	137.843	535.292
565	10.6477	10.6868	1445.33	20.9952	20.6875	47.7575	1445.33	20.985	20.0178	149.955	867.223	20.9969	20.1027	30.7497	867.223	20.9914	20.0967	85.8735	867.223	20.9942	20.0967	57.9259	867.223
566	10.6361	10.6071	322.268	20.9931	20.547	69.0715	322.268	20.9839	19.9467	160.726	213.745	21.0053	20.0371	17.8156	213.745	20.9935	20.0303	68.0231	213.745	20.9963	20.0303	51.5711	213.745
567	10.3156	10.3046	62.4549	20.9885	20.2466	114.97	62.4549	20.9814	19.7792	186.319	62.4549	20.9959	19.8729	41.2448	62.4549	20.9908	19.8667	91.8942	62.4549	20.9914	19.8667	85.914	62.4549
568	10.187	10.1802	27.488	20.9866	20.1196	134.37	27.488	20.9802	19.7016	198.169	27.488	20.9947	19.7982	52.8942	27.488	20.9897	19.7921	103.498	27.488	20.9899	19.7921	101.587	27.488
569	10.1017	10.0974	3.2527	20.9853	20.033	147.583	3.2527	20.9793	19.6441	206.953	3.2527	20.9901	19.7389	101.743	3.2527	20.9847	19.7329	153.021	3.2527	20.9846	19.7329	153.554	3.2527
570	10.0466	10.0435	-0.0275489	20.9843	19.9738	156.626	-0.0275489	20.9787	19.6044	213.012	-0.0275489	20.984	19.6909	160.573	-0.0275489	20.9787	19.6849	213.1	-0.0275489	20.9785	19.6849	215.112	-0.0275489
571	10.0115	10.01	0.00140402	20.9837	19.9333	162.814	0.00140402	20.9783	19.5783	217.002	0.00140402	20.9799	19.6564	200.823	0.00140402	20.9746	19.6504	254.577	0.00140402	20.9743	19.6504	257.424	0.00140402
572	9.98241	9.97985	-5.61487e-05	20.9831	19.8952	168.619	-5.61487e-05	20.9779	19.5517	221.062	-5.61487e-05	20.979	19.6235	210.268	-5.61487e-05	20.9734	19.6176	266.225	-5.61487e-05	20.973	19.6176	269.648	-5.61487e-05
573	9.96499	9.96562	2.6486e-07	20.9828	19.8726	172.089	2.6486e-07	20.9777	19.5387	223.049	2.64843e-07	20.9787	19.6071	212.611	2.64843e-07	20.9731	19.6012	269.346	2.64843e-07	20.9727	19.6012	273.105	2.64843e-07
574	9.96687	9.96609	1.29143e-09	20.9826	19.8618	173.733	1.29143e-09	20.9777	19.5365	223.37	1.29143e-09	20.9787	19.6024	213.328	1.29143e-09	20.9731	19.5965	269.536	1.29143e-09	20.9727	19.5965	273.552	1.29143e-09
575	9.95436	9.95363	0	20.9823	19.8393	177.163	0	20.9775	19.5221	225.578	0	20.9784	19.5858	215.852	0	20.9727	19.58	273.323	0	20.9722	19.58	277.551	0
576	9.91026	9.90488	0	20.9814	19.7839	185.608	0	20.9767	19.4743	232.869	0	20.9777	19.5362	223.413	0	20.9713	19.5303	286.799	0	20.9709	19.5303	291.174	0
577	9.84758	9.84546	0	20.9805	19.7228	194.942	0	20.9759	19.4204	241.097	0	20.9768	19.4808	231.884	0	20.9698	19.4748	302.045	0	20.9693	19.4748	306.572	0
578	9.80896	9.80556	0	20.9799	19.6799	201.478	0	20.9753	19.3846	246.564	0	20.9763	19.4434	237.577	0	20.9688	19.4374	311.944	0	20.9683	19.4374	316.668	0
579	9.75959	9.75675	0	20.9791	19.6303	209.063	0	20.9747	19.3417	253.112	0	20.9756	19.3992	244.338	0	20.9676	19.393	323.707	0	20.9671	19.393	328.691	0
580	9.7024	9.69761	0	20.9782	19.572	217.954	0	20.9739	19.29	260.994	0	20.9748	19.3462	252.425	0	20.9662	19.3399	337.738	0	20.9657	19.3399	343.063	0
581	9.64695	9.64493	0	20.9775	19.522	225.59	0	20.9732	19.2465	267.646	0	20.9741	19.3013	259.275	0	20.9651	19.295	349.113	0	20.9645	19.295	354.895	0
582	9.61473	9.61221	0	20.977	19.49	230.469	0	20.9729	19.2208	271.564	0	20.974	19.2746	259.944	0	20.9648	19.2682	351.51	0	20.9642	19.2682	357.868	0
583	9.57847	9.57638	0	20.9764	19.4556	235.727	0	20.9724	19.1925	275.885	0	20.9779	19.2504	221.599	0	20.9685	19.244	314.952	0	20.9678	19.244	321.877	0
584	9.54634	9.54418	0	20.976	19.4248	240.43	0	20.972	19.1677	279.671	0	20.9821	19.2346	178.734	0	20.9727	19.228	273.106	0	20.972	19.228	280.414	0
585	9.65079	9.67185	390.432	20.9777	19.5418	222.616	390.432	20.9736	19.2724	263.724	315.413	20.9877	19.3492	123.067	315.413	20.9783	19.3426	217.468	315.413	20.9783	19.3426	217.262	315.413
586	10.2046	10.2511	1237.48	20.9856	20.055	144.336	1237.48	20.9781	19.5669	218.787	742.773	20.9925	19.6506	75.2403	742.773	20.9832	19.644	168.179	742.773	20.9849	19.644	151.488	742.773
587	10.8839	10.9209	1620.06	20.9942	20.6174	58.4636	1620.06	20.9832	19.8986	168.15	972.033	20.9976	19.9868	24.5516	972.033	20.9886	19.9802	114.523	972.033	20.9917	19.9802	82.6749	972.033
588	11.203	11.2119	1269.12	20.9972	20.8183	27.7356	1269.12	20.9851	20.0226	149.188	761.473	20.9971	20.1114	28.8893	761.473	20.9885	20.1048	114.65	761.473	20.9918	20.1048	82.3122	761.473
589	11.3614	11.3744	1238.91	20.9987	20.914	13.1545	1238.91	20.9859	20.0789	140.609	743.344	20.9979	20.1684	20.8907	743.344	20.9895	20.1618	104.65	743.344	20.9927	20.1618	73.2014	743.344
590	11.584	11.5933	1247.47	21.0636	21.0686	-0.140971	1247.47	20.9872	20.1644	127.548	748.483	21.1041	20.2685	-0.76162	748.483	20.9933	20.2517	66.7038	748.483	20.9967	20.2517	33.4207	748.483
591	11.419	11.3934	466.69	21.0036	20.8327	25.798	466.69	20.9855	20.0468	145.46	347.433	21.0372	20.1546	2.68425	347.433	20.9918	20.138	81.5683	347.433	20.9941	20.138	58.9893	347.433
592	11.0424	11.0207	85.6942	20.9919	20.4689	81.0123	85.6942	20.9823	19.8421	176.698	85.6942	20.9966	19.947	33.7399	85.6942	20.9883	19.9359	117.45	85.6942	20.9893	19.9359	107.201	85.6942
593	10.773	10.7591	6.42189	20.9882	20.2234	118.504	6.42189	20.9796	19.6633	204.004	6.42189	20.9904	19.7645	96.4132	6.42189	20.9816	19.7547	183.634	6.42189	20.9819	19.7547	181.459	6.42189
594	10.6047	10.5963	0.00787246	20.9858	20.0725	141.548	0.00787246	20.9779	19.5521	220.985	0.00787246	20.9835	19.6457	164.85	0.00787246	20.9745	19.6364	255.427	0.00787246	20.9743	19.6364	257.17	0.00787246
595	10.4868	10.4795	-1.56524e-05	20.9842	19.9635	158.198	-1.56524e-05	20.9766	19.4697	233.559	-1.56524e-05	20.9783	19.5541	216.677	-1.56524e-05	20.9689	19.545	310.914	-1.56524e-05	20.9685	19.545	315.062	-1.56524e-05
596	10.3823	10.376	4.27912e-07	20.9827	19.8667	172.961	4.27912e-07	20.9755	19.3925	245.346	4.27912e-07	20.9766	19.4703	233.616	4.27912e-07	20.9667	19.4613	332.792	4.27912e-07	20.9661	19.4613	338.685	4.27912e-07
597	10.3205	10.319	-4.73526e-09	20.9819	19.813	181.176	-4.73526e-09	20.9749	19.3542	251.206	-4.73526e-09	20.976	19.4283	239.897	-4.73526e-09	20.966	19.4193	339.601	-4.73526e-09	20.9653	19.4193	346.852	-4.73526e-09
598	10.292	10.2892	8.27842e-11	20.9814	19.7814	185.987	8.27842e-11	20.9746	19.3357	254.024	8.27842e-11	20.9757	19.407	243.139	8.27842e-11	20.9659	19.3981	341.053	8.27842e-11	20.9651	19.3981	349.503	8.27842e-11
599	10.2494	10.2468	0	20.9807	19.738	192.625	0	20.9741	19.3038	258.888	0	20.9752	19.3729	248.344	0	20.9654	19.3641	346.51	0	20.9644	19.3641	356.056	0
600	10.214	10.2119	0	20.9802	19.7016	198.178	0	20.9737	19.2782	262.805	0	20.9748	19.3453	252.553	0	20.965	19.3365	350.222	0	20.9639	19.3365	360.801	0
601	10.1845	10.1826	0	20.9797	19.6703	202.952	0	20.9734	19.257	266.037	0	20.9744	19.3225	256.046	0	20.9647	19.3137	352.713	0	20.9636	19.3137	364.243	0
602	10.1563	10.1544	0	20.9793	19.6403	207.541	0	20.9731	19.2366	269.151	0	20.9741	19.3005	259.404	0	20.9645	19.2917	355.081	0	20.9633	19.2917	367.473	0
603	10.1271	10.1251	0	20.9788	19.6095	212.236	0	20.9728	19.2152	272.418	0	20.9737	19.2775	262.903	0	20.9642	19.2688	357.84	0	20.9629	19.2688	371.011	0
604	10.1122	10.1125	0	20.9785	19.5945	214.531	0	20.9727	19.2093	273.326	0	20.9736	19.2702	264.034	0	20.9644	19.2615	356.202	0	20.963	19.2615	370.096	0
605	10.1141	10.1139	0	20.9785	19.5913	215.009	0	20.9728	19.215	272.457	0	20.9737	19.2745	263.379	0	20.9649	19.2658	351.306	0	20.9634	19.2658	365.84	0
606	10.1165	10.1171	0	20.9785	19.5894	215.304	0	20.9729	19.2217	271.438	0	20.9739	19.2798	261.342	0	20.9655	19.2713	345.045	0	20.964	19.2713	360.13	0
607	10.1279	10.1288	0	20.9786	19.5947	214.496	0	20.9731	19.2354	269.348	0	20.978	19.2969	220.157	0	20.9701	19.2885	298.884	0	20.9686	19.2885	314.354	0
608	10.1457	10.1472	0	20.9787	19.6055	212.845	0	20.9734	19.2544	266.446	0	20.9837	19.3248	163.332	0	20.9763	19.3165	236.617	0	20.9748	19.3165	252.121	0
609	10.1742	10.1766	23.2697	20.979	19.6257	209.772	23.2697	20.9738	19.2825	262.15	23.2697	20.988	19.3635	119.864	23.2697	20.9812	19.3554	187.915	23.2697	20.9797	19.3554	202.636	23.2697
610	10.2209	10.2242	69.3068	20.9796	19.6611	204.364	69.3068	20.9745	19.3258	255.547	69.3068	20.9889	19.4135	111.35	69.3068	20.9825	19.4055	175.406	69.3068	20.9812	19.4055	188.094	69.3068
611	10.2855	10.2945	174.566	20.9804	19.7163	195.954	174.566	20.9754	19.3886	245.97	174.566	20.9899	19.4808	101.336	174.566	20.9838	19.4729	162.143	174.566	20.9828	19.4729	171.593	174.566
612	10.6403	10.6683	708.714	20.9854	20.0435	146.048	708.714	20.9792	19.6376	207.978	491.952	20.9914	19.7304	86.1778	491.952	20.9858	19.7227	142.258	491.952	20.9861	19.7227	138.716	491.952
613	10.7457	10.7368	248.836	20.9858	20.0704	141.861	248.836	20.9794	19.6466	206.567	194.827	20.9915	19.74	84.837	194.827	20.9863	19.7324	136.913	194.827	20.9863	19.7324	136.906	194.827
614	10.6526	10.6502	146.113	20.9843	19.9735	156.667	146.113	20.9788	19.609	212.32	146.162	20.9935	19.7069	66.7941	146.162	20.9882	19.6993	118.094	146.162	20.9879	19.6993	120.843	146.162
615	10.6503	10.6509	155.416	20.9841	19.961	158.586	155.416	20.9789	19.6181	210.933	155.417	20.9935	19.7195	64.6749	155.417	20.9885	19.7121	115.005	155.417	20.9883	19.7121	117.371	155.417
616	10.6032	10.5972	48.7351	20.9832	19.8986	168.101	48.7351	20.9782	19.57	218.254	48.7351	20.9925	19.6741	74.6168	48.7351	20.9874	19.6667	125.903	48.7351	20.9869	19.6667	130.711	48.7351
617	10.5262	10.5225	6.77656	20.982	19.8225	179.714	6.77656	20.9772	19.505	228.181	6.77656	20.9877	19.6064	123.001	6.77656	20.9823	19.5991	177.003	6.77656	20.9816	19.5991	183.99	6.77656
618	10.4852	10.4834	-0.0221705	20.9814	19.7812	186.025	-0.0221705	20.9767	19.4729	233.084	-0.0221705	20.982	19.5667	179.825	-0.0221705	20.9765	19.5594	234.779	-0.0221705	20.9757	19.5594	242.757	-0.0221705
619	10.4699	10.4696	0.000987922	20.9811	19.7628	188.846	0.000987922	20.9765	19.4626	234.663	0.000987922	20.978	19.5473	219.508	0.000987922	20.9726	19.5401	274.192	0.000987922	20.9718	19.5401	282.592	0.000987922
620	10.4702	10.4704	-3.53339e-05	20.981	19.7569	189.742	-3.53339e-05	20.9766	19.4642	234.419	-3.53339e-05	20.9778	19.5428	222.512	-3.53339e-05	20.9724	19.5356	275.968	-3.53339e-05	20.9716	19.5356	284.579	-3.53339e-05
621	10.4462	10.4425	2.52906e-07	20.9805	19.7238	194.775	2.52906e-07	20.9762	19.4382	238.38	2.52906e-07	20.9773	19.5131	226.935	2.52906e-07	20.9717	19.506	283.322	2.52906e-07	20.9708	19.506	291.869	2.52906e-07
622	10.4026	10.4012	1.15898e-09	20.9799	19.6814	201.267	1.15898e-09	20.9756	19.4024	243.848	1.15898e-09	20.9767	19.4747	232.818	1.15898e-09	20.9706	19.4675	293.694	1.15898e-09	20.9698	19.4675	302.099	1.15898e-09
623	10.4143	10.4173	0	20.98	19.6918	199.688	0	20.9759	19.4193	241.281	0	20.9769	19.4893	230.588	0	20.9711	19.4823	288.745	0	20.9703	19.4823	297.064	0
624	10.4482	10.4492	0	20.9804	19.7133	196.391	0	20.9763	19.4471	237.026	0	20.9773	19.5153	226.624	0	20.9719	19.5083	280.506	0	20.9711	19.5083	288.761	0
625	10.4585	10.4592	0	20.9804	19.7144	196.222	0	20.9764	19.4543	235.925	0	20.9774	19.5207	225.787	0	20.9722	19.5139	278.195	0	20.9714	19.5139	286.389	0
626	10.4519	10.4502	0	20.9801	19.6983	198.675	0	20.9763	19.4442	237.47	0	20.9773	19.509	227.578	0	20.9719	19.5022	280.936	0	20.9711	19.5022	289.036	0
627	10.4239	10.4222	0	20.9796	19.6665	203.528	0	20.9759	19.4182	241.437	0	20.9768	19.4815	231.779	0	20.9712	19.4747	288.396	0	20.9704	19.4747	296.343	0
