Variable	Start [h]	End [h]
Variante 8.1 Raumlufttemperatur	740	2900
Variante 8.1 Oberflächentemperatur	740	2900
Variante 8.2 Raumlufttemperatur	740	2900
Variante 8.2 Oberflächentemperatur	740	2900
Variante 8.3 Raumlufttemperatur	740	2900
Variante 8.3 Oberflächentemperatur	740	2900
Variante 8.4.Raumlufttemperatur	740	2900
Variante 8.4 Oberflächentemperatur	740	2900
