Time [h]	Azimuth [Deg]	Altitude [Deg]	Var1.Sonnenlichtfaktor [---]	Var2.Sonnenlichtfaktor [---]	Var3.Sonnenlichtfaktor [---]	Var4.Sonnenlichtfaktor [---]	Var5.Sonnenlichtfaktor [---]	Var6.Sonnenlichtfaktor [---]
3568.66666666667	269.48	29.09	0.694	0.306	0	1	0	0
3568.83333333333	271.39	27.48	0	0	0	0	0	0
3569	273.27	25.88	0	0	0	0	0	0
3569.16666666667	275.13	24.27	0	0	0	0	0	0
3569.33333333333	276.98	22.68	0	0	0	0	0	0
3569.5	278.8	21.09	0	0	0	0	0	0
3569.66666666667	280.62	19.5	0	0	0	0	0	0
3569.83333333333	282.43	17.93	0	0	0	0	0	0
3570	284.23	16.37	0	0	0	0	0	0
3570.16666666667	286.03	14.82	0	0	0	0	0	0
3570.33333333333	287.82	13.28	0	0	0	0	0	0
3570.5	289.63	11.76	0	0	0	0	0	0
3570.66666666667	291.43	10.26	0	0	0	0	0	0
3570.83333333333	293.25	8.77	0	0	0	0	0	0
3571	295.07	7.3	0	0	0	0	0	0
3571.16666666667	296.9	5.86	0	0	0	0	0	0
3571.33333333333	298.75	4.44	0	0	0	0	0	0
3571.5	300.61	3.05	0	0	0	0	0	0
3571.66666666667	302.5	1.68	0	0	0	0	0	0
3571.83333333333	304.4	0.34	0	0	0	0	0	0
3572	306.32	-0.97	0	0	0	0	0	0
3572.16666666667	308.26	-2.25	0	0	0	0	0	0
3572.33333333333	310.23	-3.49	0	0	0	0	0	0
3572.5	312.22	-4.7	0	0	0	0	0	0
3572.66666666667	314.24	-5.87	0	0	0	0	0	0
3572.83333333333	316.28	-7	0	0	0	0	0	0
3573	318.35	-8.09	0	0	0	0	0	0
3573.16666666667	320.45	-9.13	0	0	0	0	0	0
3573.33333333333	322.58	-10.13	0	0	0	0	0	0
3573.5	324.74	-11.08	0	0	0	0	0	0
3573.66666666667	326.93	-11.98	0	0	0	0	0	0
3573.83333333333	329.14	-12.83	0	0	0	0	0	0
3574	331.38	-13.63	0	0	0	0	0	0
3574.16666666667	333.66	-14.37	0	0	0	0	0	0
3574.33333333333	335.95	-15.05	0	0	0	0	0	0
3574.5	338.28	-15.68	0	0	0	0	0	0
3574.66666666667	340.62	-16.24	0	0	0	0	0	0
3574.83333333333	342.99	-16.74	0	0	0	0	0	0
3575	345.37	-17.18	0	0	0	0	0	0
3575.16666666667	347.78	-17.55	0	0	0	0	0	0
3575.33333333333	350.2	-17.86	0	0	0	0	0	0
3575.5	352.63	-18.09	0	0	0	0	0	0
3575.66666666667	355.07	-18.27	0	0	0	0	0	0
3575.83333333333	357.51	-18.37	0	0	0	0	0	0
