Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Potsdam Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	179.93	0.21	0.58	-0.14	0.14	0.84	302.65	57.08	-0.08	0.15	100.0	0.37	0.4	0.00282	57.61	False	99.73	Gold
01-Sonnenstand	Shanghai Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	32.96	1.86	0.8	0.48	0.37	1.19	78.23	0.0	1.48	0.77	99.9	0.61	2.11	0.05036	18.99	False	98.52	Gold
01-Sonnenstand	Shanghai Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	179.93	1.48	7.37	-0.07	7.07	152.39	292.77	67.18	-0.04	1.18	99.81	2.66	2.34	0.01723	62.29	False	99.3	Gold
01-Sonnenstand	Kaxgar Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	29.02	2.04	0.74	0.44	0.34	1.04	69.93	0.0	1.55	0.83	99.88	0.58	2.33	0.06212	17.17	False	98.41	Gold
01-Sonnenstand	Kaxgar Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	179.9	1.44	8.27	0.12	6.71	148.99	295.23	64.58	0.07	1.12	99.81	2.59	2.49	0.01681	59.47	False	99.3	Gold
01-Sonnenstand	Singapur Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	42.0	0.7	0.62	0.1	0.09	1.13	89.26	0.0	0.24	0.33	99.98	0.29	0.72	0.03152	23.67	False	99.51	Gold
01-Sonnenstand	Singapur Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	179.93	3.56	5.43	0.1	41.06	240.32	359.37	0.13	0.06	1.8	99.42	6.41	4.13	0.10595	85.33	False	97.57	Gold
01-Sonnenstand	Lima Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	41.83	0.76	0.88	-0.17	0.1	1.16	89.48	0.0	-0.39	0.35	99.98	0.32	0.8	0.02994	24.01	False	99.31	Gold
01-Sonnenstand	Lima Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	179.84	6.29	26.5	-0.32	128.52	358.49	359.81	0.26	-0.18	3.16	98.71	11.34	6.28	0.17819	101.53	False	95.62	Gold
01-Sonnenstand	Denver Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	28.89	2.22	1.27	0.4	0.4	1.25	69.64	0.5	1.41	0.9	99.86	0.63	2.54	0.07918	17.1	False	98.24	Gold
01-Sonnenstand	Denver Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	179.92	0.4	0.71	-0.51	0.52	1.56	295.33	64.41	-0.28	0.31	99.99	0.72	0.69	0.00533	59.39	False	99.48	Gold
01-Sonnenstand	Barrow Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	18.23	81.21	37.14	4.97	115.9	26.02	38.1	0.0	37.52	19.23	4.62	10.77	79.4	1.52683	12.75	False	-23.4	Failed
01-Sonnenstand	Barrow Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	178.35	25.78	11.14	-1.89	2158.79	359.53	359.95	0.19	-1.05	12.94	65.87	46.46	45.7	0.25648	79.55	False	66.9	Failed
01-Sonnenstand	Melbourne Altitude	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	29.81	26.27	20.76	-4.17	79.66	26.5	75.65	0.0	-12.27	11.72	80.0	8.93	26.74	0.58354	20.06	False	64.14	Failed
01-Sonnenstand	Melbourne Azimuth	TRNSYS	TRNSYS	18	Deg	Julian Agudelo, Hochschule München	0	191.72	82.51	19.65	11.83	22029.46	362.89	450.0	-65.18	6.58	41.39	-50.31	148.42	64.61	-99	149.89	False	33.1	Failed
02-SolareLasten Isotrop	Sun azimuth angle	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	179.93	1.67	0.06	-0.05	9.0	179.96	359.96	0.01	-0.03	0.83	99.91	3.0	1.73	0.08534	100.15	True	98.98	Gold
02-SolareLasten Isotrop	Sun elevation angle	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	-4.15	-2.3	0.02	0.05	0.01	0.23	56.8	-61.0	-1.25	0.08	100.0	0.1	0.21	-99	28.83	True	99.93	Gold
02-SolareLasten Isotrop	Direktstrahlung - 0	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.1	3.57	0.94	0.19	3.17	11.12	520.34	0.0	0.38	0.34	99.97	1.78	10.2	0.12901	113.36	True	99.44	Gold
02-SolareLasten Isotrop	Direktstrahlung N 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	30.68	31.95	0.81	1.5	86.9	123.61	467.39	0.0	5.14	2.01	98.73	9.32	113.74	0.14157	85.43	True	97.99	Gold
02-SolareLasten Isotrop	Direktstrahlung N 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	42.05	8.66	0.61	0.57	12.89	61.23	297.77	0.0	1.38	1.21	99.7	3.59	5.08	0.18296	66.28	True	98.55	Gold
02-SolareLasten Isotrop	Direktstrahlung N-E 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	21.27	14.76	1.68	0.26	9.62	26.83	399.41	0.0	1.22	0.79	99.75	3.1	236.48	0.10378	62.6	True	99.09	Gold
02-SolareLasten Isotrop	Direktstrahlung N-E 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	20.65	7.93	0.95	0.12	2.65	20.92	330.04	0.0	0.59	0.49	99.93	1.63	220.01	0.11287	60.39	True	99.34	Gold
02-SolareLasten Isotrop	Direktstrahlung E 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	25.64	9.86	1.29	0.06	6.36	31.64	516.51	0.0	0.25	0.49	99.92	2.52	2414.24	0.07649	88.08	True	99.33	Gold
02-SolareLasten Isotrop	Direktstrahlung E 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	40.84	5.25	0.65	0.15	4.56	23.32	538.22	0.0	0.37	0.4	99.96	2.14	46.46	0.12127	110.49	True	99.4	Gold
02-SolareLasten Isotrop	Direktstrahlung S-E 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	49.2	4.5	0.36	0.01	4.89	20.76	654.15	0.0	0.01	0.34	99.97	2.21	105.73	0.07419	137.17	True	99.43	Gold
02-SolareLasten Isotrop	Direktstrahlung S-E 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	61.37	3.82	0.45	0.13	5.46	16.49	676.53	0.0	0.22	0.35	99.98	2.34	22.77	0.13125	155.45	True	99.41	Gold
02-SolareLasten Isotrop	Direktstrahlung S 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	63.76	3.6	0.13	-0.04	5.29	25.1	718.84	0.0	-0.06	0.32	99.98	2.3	36.56	0.1181	165.28	True	99.44	Gold
02-SolareLasten Isotrop	Direktstrahlung S 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	73.68	3.39	0.25	0.15	6.23	21.0	791.07	0.0	0.2	0.32	99.98	2.5	13.99	0.13833	177.05	True	99.45	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	67.28	9.18	2.14	0.49	37.61	157.21	688.92	0.0	0.73	0.89	99.86	6.13	242.63	0.14032	162.95	True	99.07	Gold
02-SolareLasten Isotrop	Direktstrahlung S-W 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	73.95	5.06	1.79	0.39	13.86	78.38	744.72	0.0	0.53	0.5	99.95	3.72	26.93	0.15201	170.41	True	99.33	Gold
02-SolareLasten Isotrop	Direktstrahlung W 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	51.14	20.28	0.53	0.96	103.51	220.66	937.14	0.0	1.91	1.09	99.54	10.17	312.2	0.12805	151.91	True	98.86	Gold
02-SolareLasten Isotrop	Direktstrahlung W 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	59.23	9.14	2.43	0.63	28.68	110.11	573.4	0.0	1.07	0.94	99.85	5.36	130.0	0.14796	141.67	True	98.98	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	26.49	36.25	0.37	0.88	86.21	223.72	987.05	0.0	3.45	0.94	99.27	9.28	-99	0.0686	111.23	True	98.89	Gold
02-SolareLasten Isotrop	Direktstrahlung N-W 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	35.03	13.79	1.26	0.54	22.62	111.28	563.12	0.0	1.56	0.85	99.75	4.76	237.29	0.13504	95.87	True	99.04	Gold
02-SolareLasten Isotrop	Diffusstrahlung - 0	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	52.71	2.59	0.41	0.0	1.86	8.68	411.44	0.0	0.0	0.33	99.97	1.36	1.68	0.10254	82.95	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-E 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung E 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-E 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung S-W 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung W 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-W 90	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	36.52	2.96	1.05	-0.04	1.17	4.54	249.1	0.0	-0.1	0.43	99.96	1.08	1.57	0.08565	54.53	True	99.48	Gold
02-SolareLasten Isotrop	Diffusstrahlung N-W 30	Aixlib	AixLib	0.7.3	W/m2	Amin Nouri, RWTH Aachen	0	50.54	2.55	0.43	-0.0	1.66	8.12	389.66	0.0	-0.01	0.33	99.97	1.29	1.61	0.10021	79.01	True	99.58	Gold
02-SolareLasten Isotrop	Sun azimuth angle	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	179.98	3.73	0.06	0.01	45.06	359.98	360.0	0.1	0.0	1.87	99.55	6.71	3.86	0.11494	100.35	False	98.25	Gold
02-SolareLasten Isotrop	Sun elevation angle	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	-3.74	-13.94	0.22	0.47	0.34	1.17	57.0	-60.9	-11.07	0.5	99.96	0.59	1.26	-99	28.83	False	99.42	Gold
02-SolareLasten Isotrop	Direktstrahlung - 0	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	46.42	88.12	7.17	-3.49	1934.03	233.66	517.0	0.0	-6.99	8.48	84.73	43.98	252.04	0.90266	111.47	False	85.92	Bronze
02-SolareLasten Isotrop	Direktstrahlung N 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	13.33	201.65	65.99	-15.85	3461.46	339.56	157.7	0.0	-54.33	12.69	49.32	58.83	717.88	1.00022	37.8	False	87.31	Bronze
02-SolareLasten Isotrop	Direktstrahlung N 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	34.6	100.34	16.95	-6.88	1732.48	216.04	249.54	0.0	-16.59	14.02	59.5	41.62	58.91	0.86065	56.16	False	83.24	Bronze
02-SolareLasten Isotrop	Direktstrahlung N-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	10.99	272.16	14.28	-10.03	3271.14	377.25	351.89	0.0	-47.71	14.57	13.45	57.19	4261.87	1.03083	41.67	False	83.46	Bronze
02-SolareLasten Isotrop	Direktstrahlung N-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	15.62	178.76	5.28	-4.91	1346.9	316.49	342.22	0.0	-23.89	11.14	62.3	36.7	4960.77	0.83052	51.94	False	85.21	Bronze
02-SolareLasten Isotrop	Direktstrahlung E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	15.42	230.76	16.7	-10.16	3483.93	460.63	470.43	0.0	-39.7	11.53	54.41	59.02	56382.11	0.89597	62.29	False	85.75	Bronze
02-SolareLasten Isotrop	Direktstrahlung E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	31.71	133.62	6.07	-8.98	2956.45	358.19	533.85	0.0	-22.07	10.12	75.44	54.37	1182.52	0.93703	94.34	False	85.64	Bronze
02-SolareLasten Isotrop	Direktstrahlung S-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	36.52	134.59	9.12	-12.67	4383.76	448.41	623.27	0.0	-25.76	10.13	76.54	66.21	3165.31	0.96682	109.28	False	85.5	Bronze
02-SolareLasten Isotrop	Direktstrahlung S-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	52.44	105.51	7.43	-8.79	4173.5	426.56	658.04	0.0	-14.35	9.58	82.52	64.6	629.67	0.99416	141.03	False	85.01	Bronze
02-SolareLasten Isotrop	Direktstrahlung S 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	59.97	113.77	5.5	-3.83	5268.23	562.43	730.88	0.0	-6.0	10.09	80.58	72.58	1153.83	0.95387	162.28	False	84.58	Bronze
02-SolareLasten Isotrop	Direktstrahlung S 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	69.2	96.37	7.19	-4.34	5021.85	479.2	775.94	0.0	-5.9	8.97	83.79	70.87	397.41	0.9825	174.15	False	85.45	Bronze
02-SolareLasten Isotrop	Direktstrahlung S-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	67.58	124.35	33.17	0.79	6897.81	783.8	828.84	0.0	1.18	12.1	73.69	83.05	3285.73	0.87537	175.87	False	83.66	Bronze
02-SolareLasten Isotrop	Direktstrahlung S-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	71.92	97.78	17.81	-1.64	5173.53	589.29	819.0	0.0	-2.23	9.71	81.96	71.93	520.2	0.91339	176.43	False	84.61	Bronze
02-SolareLasten Isotrop	Direktstrahlung W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	47.47	164.66	50.34	-2.71	6826.51	682.16	675.17	0.0	-5.39	8.86	69.51	82.62	2190.32	0.70847	137.39	False	84.63	Bronze
02-SolareLasten Isotrop	Direktstrahlung W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	57.05	109.38	26.5	-1.55	4108.37	470.4	650.54	0.0	-2.65	11.25	79.17	64.1	1555.88	0.83324	142.81	False	84.02	Bronze
02-SolareLasten Isotrop	Direktstrahlung N-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	18.66	236.9	76.45	-6.95	3680.94	721.84	529.35	0.0	-27.12	6.15	68.8	60.67	-99	0.54319	75.09	False	82.09	Bronze
02-SolareLasten Isotrop	Direktstrahlung N-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	32.09	129.54	30.16	-2.4	1996.04	407.62	477.51	0.0	-6.97	8.0	77.76	44.68	2229.03	0.69661	86.5	False	86.21	Bronze
02-SolareLasten Isotrop	Diffusstrahlung - 0	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	52.74	67.7	0.07	0.03	1273.32	183.34	411.23	0.0	0.06	8.68	81.29	35.68	44.0	0.89393	83.49	False	88.69	Bronze
02-SolareLasten Isotrop	Diffusstrahlung N 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	32.8	61.44	16.72	-3.76	504.56	128.01	207.81	0.0	-10.28	9.02	82.87	22.46	32.59	0.80047	47.76	False	88.09	Bronze
02-SolareLasten Isotrop	Diffusstrahlung N 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	46.57	66.6	11.44	-3.97	1133.13	177.76	370.3	0.0	-7.86	8.65	81.65	33.66	42.17	0.87839	74.44	False	88.86	Bronze
02-SolareLasten Isotrop	Diffusstrahlung N-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	33.29	53.68	17.32	-3.27	385.14	127.92	205.01	0.0	-8.95	7.88	86.92	19.62	28.47	0.74726	48.55	False	89.25	Bronze
02-SolareLasten Isotrop	Diffusstrahlung N-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	47.08	62.13	7.85	-3.47	986.28	177.46	363.3	0.0	-6.86	8.07	84.03	31.41	39.34	0.8532	74.93	False	89.5	Bronze
02-SolareLasten Isotrop	Diffusstrahlung E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	36.49	54.47	32.3	-0.07	396.63	125.52	205.51	0.0	-0.18	7.99	86.53	19.92	28.9	0.73313	53.03	False	89.4	Bronze
02-SolareLasten Isotrop	Diffusstrahlung E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	49.63	61.07	11.51	-0.92	952.95	173.27	368.52	0.0	-1.81	7.93	84.57	30.87	38.67	0.84077	77.92	False	89.67	Bronze
02-SolareLasten Isotrop	Diffusstrahlung S-E 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	40.26	69.66	57.94	3.71	648.64	158.71	249.38	0.0	10.14	10.22	77.98	25.47	36.95	0.74246	59.41	False	88.02	Bronze
02-SolareLasten Isotrop	Diffusstrahlung S-E 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	52.67	65.22	20.59	2.12	1086.66	166.83	381.65	0.0	4.2	8.47	82.4	32.96	41.29	0.84401	81.67	False	89.16	Bronze
02-SolareLasten Isotrop	Diffusstrahlung S 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	42.68	81.95	54.21	6.12	897.67	159.21	237.88	0.0	16.74	12.03	69.52	29.96	43.47	0.77846	63.18	False	86.02	Bronze
02-SolareLasten Isotrop	Diffusstrahlung S 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	54.48	70.83	20.48	3.94	1281.87	168.45	396.42	0.0	7.79	9.2	79.24	35.8	44.85	0.86156	83.94	False	88.27	Bronze
02-SolareLasten Isotrop	Diffusstrahlung S-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	42.61	88.83	32.17	6.05	1054.73	113.09	251.86	0.0	16.55	13.04	64.19	32.48	47.12	0.8455	62.8	False	84.06	Bronze
02-SolareLasten Isotrop	Diffusstrahlung S-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	54.08	74.54	12.72	3.54	1419.64	182.69	405.5	0.0	7.0	9.68	77.01	37.68	47.2	0.88783	83.56	False	87.54	Bronze
02-SolareLasten Isotrop	Diffusstrahlung W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	39.8	88.13	17.25	3.24	1038.08	130.47	247.14	0.0	8.86	12.93	64.75	32.22	46.75	0.88115	58.61	False	83.86	Bronze
02-SolareLasten Isotrop	Diffusstrahlung W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	51.63	74.88	4.02	1.08	1432.45	188.58	402.67	0.0	2.14	9.72	76.8	37.85	47.41	0.90521	80.72	False	87.46	Bronze
02-SolareLasten Isotrop	Diffusstrahlung N-W 90	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	35.62	74.58	9.89	-0.94	743.49	126.15	223.92	0.0	-2.58	10.94	74.76	27.27	39.56	0.85772	51.81	False	86.0	Bronze
02-SolareLasten Isotrop	Diffusstrahlung N-W 30	ETU2	HottCAD	5.1.x.19	W/m2	Dr. Rainer Rolffs, ETU Hottgenroth	0	48.49	71.54	7.45	-2.06	1307.52	185.96	386.84	0.0	-4.07	9.29	78.83	36.16	45.29	0.90082	76.86	False	88.06	Bronze
02-SolareLasten Isotrop	Sun azimuth angle	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.03	1.67	0.05	0.05	9.0	179.96	359.99	0.02	0.03	0.83	99.91	3.0	1.73	0.01203	100.1	True	98.98	Gold
02-SolareLasten Isotrop	Sun elevation angle	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	-4.26	-2.3	0.02	-0.05	0.01	0.23	56.88	-61.0	1.25	0.08	100.0	0.1	0.21	-99	28.85	True	99.93	Gold
02-SolareLasten Isotrop	Direktstrahlung - 0	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	49.71	3.57	0.52	-0.19	3.17	11.12	517.87	0.0	-0.38	0.34	99.97	1.78	10.2	0.05513	111.73	True	99.44	Gold
02-SolareLasten Isotrop	Direktstrahlung N 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	27.68	31.95	0.08	-1.5	86.9	123.61	464.04	0.0	-5.14	2.01	98.73	9.32	113.74	0.59583	80.82	True	97.99	Gold
02-SolareLasten Isotrop	Direktstrahlung N 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	40.91	8.66	0.55	-0.57	12.89	61.23	297.6	0.0	-1.38	1.21	99.7	3.59	5.08	0.33447	64.72	True	98.55	Gold
02-SolareLasten Isotrop	Direktstrahlung N-E 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	20.76	14.76	0.05	-0.26	9.62	26.83	392.63	0.0	-1.22	0.79	99.75	3.1	236.48	0.34843	60.49	True	99.09	Gold
02-SolareLasten Isotrop	Direktstrahlung N-E 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	20.41	7.93	0.65	-0.12	2.65	20.92	329.63	0.0	-0.59	0.49	99.93	1.63	220.01	0.16877	59.19	True	99.34	Gold
02-SolareLasten Isotrop	Direktstrahlung E 90	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	25.52	9.86	0.23	-0.06	6.36	31.64	511.52	0.0	-0.25	0.49	99.92	2.52	2414.24	0.22274	86.83	True	99.33	Gold
02-SolareLasten Isotrop	Direktstrahlung E 30	NANDRAD	NANDRAD	1.8	W/m2	Dirk Weiß, IBK TU Dresden	0	40.54	5.25	0.63	-0.15	4.56	23.32	536.65	0.0	-0.37	0.4	99.96	2.14	46.46	0.16868	108.97	True	99.4	Gold
