Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Kaxgar Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.55	0.5	0.43	0.77	0.82	2.34	295.3	65.35	0.43	0.39	99.98	0.91	0.87	0.00623	58.94	False	99.35	Gold
01-Sonnenstand	Singapur Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	41.88	1.72	0.91	-0.01	0.52	1.05	87.63	-0.82	-0.03	0.82	99.91	0.72	1.77	0.09701	23.58	False	98.75	Gold
01-Sonnenstand	Singapur Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.59	5.08	0.98	0.77	83.47	357.6	359.58	0.37	0.43	2.57	98.82	9.14	5.89	0.0947	84.0	False	96.29	Gold
01-Sonnenstand	Lima Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	42.03	1.04	0.61	0.03	0.19	0.88	88.89	-0.84	0.08	0.49	99.97	0.43	1.1	0.06339	24.05	False	99.22	Gold
01-Sonnenstand	Lima Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.57	6.59	0.68	0.41	140.97	359.24	359.94	0.4	0.23	3.31	98.59	11.87	6.58	0.15517	99.84	False	95.05	Gold
01-Sonnenstand	Denver Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	28.27	1.57	0.73	-0.22	0.2	0.79	69.15	-0.74	-0.78	0.64	99.93	0.45	1.79	0.04949	17.03	False	98.74	Gold
01-Sonnenstand	Denver Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.52	0.23	0.44	0.09	0.17	0.91	295.4	65.13	0.05	0.18	100.0	0.41	0.4	0.00295	58.88	False	99.71	Gold
01-Sonnenstand	Barrow Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	13.04	3.57	0.36	-0.21	0.22	0.78	37.61	-18.58	-1.62	0.85	99.82	0.47	3.49	0.11427	10.96	False	96.46	Gold
01-Sonnenstand	Barrow Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.3	3.18	0.22	0.06	32.86	239.82	359.88	0.12	0.03	1.6	99.48	5.73	5.64	0.13053	79.66	False	97.4	Gold
01-Sonnenstand	Melbourne Altitude	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	34.0	1.95	0.47	0.02	0.44	1.32	75.75	-1.15	0.06	0.87	99.89	0.66	1.98	-99	19.89	False	98.28	Gold
01-Sonnenstand	Melbourne Azimuth	ETU2	HottCAD	5.1.x.19	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.6	11.12	0.55	0.71	400.14	359.18	359.93	0.02	0.39	5.58	97.27	20.0	8.71	0.25055	121.61	False	94.08	Silver
01-Sonnenstand	Potsdam Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	21.73	1.78	0.35	-0.27	0.15	0.71	56.53	-0.71	-1.22	0.68	99.93	0.39	1.95	0.05798	14.48	True	98.81	Gold
01-Sonnenstand	Potsdam Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.11	0.14	0.27	0.04	0.06	0.55	302.53	57.43	0.02	0.1	100.0	0.25	0.27	0.00189	57.21	True	99.84	Gold
01-Sonnenstand	Shanghai Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	32.23	1.19	0.34	-0.25	0.15	0.84	77.51	-0.68	-0.77	0.49	99.96	0.39	1.35	0.04297	18.84	True	99.25	Gold
01-Sonnenstand	Shanghai Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.17	0.28	0.37	0.17	0.26	1.67	292.45	67.63	0.1	0.23	99.99	0.51	0.45	0.00387	61.48	True	99.7	Gold
01-Sonnenstand	Kaxgar Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	28.32	1.54	0.54	-0.26	0.19	0.89	69.41	-0.65	-0.9	0.63	99.93	0.44	1.76	0.05696	17.09	True	98.92	Gold
01-Sonnenstand	Kaxgar Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.11	0.29	0.37	0.33	0.26	1.29	294.94	65.03	0.18	0.22	99.99	0.51	0.49	0.00393	58.88	True	99.65	Gold
01-Sonnenstand	Singapur Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	41.86	0.89	0.5	-0.03	0.14	0.85	87.6	-0.41	-0.07	0.42	99.98	0.37	0.91	0.03995	23.56	True	99.38	Gold
01-Sonnenstand	Singapur Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.16	2.47	0.78	0.33	19.74	118.96	359.41	0.98	0.18	1.25	99.72	4.44	2.87	0.02733	83.82	True	98.22	Gold
01-Sonnenstand	Lima Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	42.05	0.47	0.5	0.06	0.04	0.57	88.87	-0.28	0.14	0.22	99.99	0.2	0.49	0.0185	24.06	True	99.67	Gold
01-Sonnenstand	Lima Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.09	2.65	0.44	-0.07	22.74	213.44	359.38	0.3	-0.04	1.33	99.77	4.77	2.64	0.02858	99.58	True	98.42	Gold
01-Sonnenstand	Denver Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	28.16	1.56	1.01	-0.33	0.2	0.85	69.08	-0.7	-1.16	0.63	99.93	0.44	1.78	0.04733	17.01	True	98.96	Gold
01-Sonnenstand	Denver Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.28	0.24	0.34	-0.15	0.18	1.04	295.2	64.92	-0.09	0.19	99.99	0.43	0.41	0.00261	58.81	True	99.73	Gold
01-Sonnenstand	Barrow Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	12.97	3.12	0.83	-0.29	0.17	0.66	37.61	-18.38	-2.18	0.74	99.86	0.41	3.05	0.05321	10.98	True	97.84	Gold
01-Sonnenstand	Barrow Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.12	1.7	0.15	-0.12	9.4	119.8	359.72	0.19	-0.06	0.85	99.85	3.07	3.02	0.01266	79.59	True	98.58	Gold
01-Sonnenstand	Melbourne Altitude	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	33.98	0.61	0.31	0.0	0.04	0.48	75.73	-0.28	0.01	0.27	99.99	0.21	0.62	0.03106	19.9	True	99.48	Gold
01-Sonnenstand	Melbourne Azimuth	IDAICE	IDA ICE	4.8.0.1	Deg	Caroline Seifert, INNIUS DÖ	0	180.1	4.11	0.39	0.22	54.58	119.67	359.79	0.17	0.12	2.06	99.63	7.39	3.22	0.04202	121.51	True	97.86	Gold
01-Sonnenstand	Potsdam Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	21.91	0.77	0.39	-0.09	0.03	0.43	56.88	-0.14	-0.41	0.3	99.99	0.17	0.84	0.02097	14.54	True	99.13	Gold
01-Sonnenstand	Potsdam Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.07	0.04	0.09	0.01	0.01	0.23	302.72	57.23	0.0	0.03	100.0	0.07	0.08	0.00044	57.34	True	99.93	Gold
01-Sonnenstand	Shanghai Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	32.47	0.41	0.26	-0.01	0.02	0.27	78.09	-0.2	-0.03	0.17	100.0	0.13	0.46	0.01568	18.93	True	99.62	Gold
01-Sonnenstand	Shanghai Azimuth	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	180.11	0.1	0.14	0.11	0.03	0.75	292.72	67.31	0.06	0.08	100.0	0.19	0.16	0.00107	61.8	True	99.86	Gold
01-Sonnenstand	Kaxgar Altitude	NANDRAD	NANDRAD	1.8	Deg	Dirk Weiß, IBK TU Dresden	0	28.48	0.9	0.46	-0.1	0.07	0.51	69.79	-0.15	-0.35	0.37	99.98	0.26	1.03	0.03515	17.14	True	99.14	Gold
