Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90720	-43.416	353.922	-64.753	357.500	-36.451	296.199	-70.964	255.628	-71.478	194.612	-56.116	355.784	-22.877	333.645	-45.805	190.980
90721	-43.432	354.264	-64.761	358.083	-36.624	296.421	-71.206	255.451	-71.538	193.852	-56.130	356.230	-22.912	333.912	-45.842	190.627
90722	-43.447	354.606	-64.767	358.666	-36.796	296.644	-71.448	255.270	-71.595	193.086	-56.142	356.675	-22.947	334.180	-45.878	190.274
90723	-43.461	354.948	-64.771	359.249	-36.969	296.868	-71.689	255.085	-71.649	192.316	-56.152	357.121	-22.982	334.447	-45.912	189.920
90724	-43.474	355.290	-64.773	359.833	-37.141	297.093	-71.931	254.894	-71.699	191.542	-56.161	357.567	-23.017	334.714	-45.946	189.566
90725	-43.486	355.632	-64.772	0.416	-37.312	297.319	-72.172	254.697	-71.746	190.763	-56.168	358.014	-23.051	334.982	-45.978	189.211
90726	-43.497	355.975	-64.770	1.000	-37.484	297.546	-72.413	254.495	-71.790	189.981	-56.174	358.460	-23.084	335.250	-46.009	188.856
90727	-43.507	356.317	-64.765	1.583	-37.655	297.774	-72.654	254.288	-71.831	189.195	-56.179	358.907	-23.118	335.518	-46.039	188.501
90728	-43.517	356.660	-64.758	2.166	-37.825	298.003	-72.894	254.074	-71.869	188.406	-56.181	359.354	-23.151	335.786	-46.068	188.145
90729	-43.525	357.003	-64.749	2.748	-37.995	298.233	-73.134	253.854	-71.903	187.614	-56.183	359.801	-23.184	336.054	-46.095	187.789
90730	-43.533	357.345	-64.738	3.331	-38.165	298.463	-73.374	253.627	-71.933	186.819	-56.183	0.247	-23.216	336.322	-46.121	187.432
90731	-43.539	357.688	-64.724	3.912	-38.335	298.695	-73.614	253.394	-71.961	186.021	-56.181	0.694	-23.248	336.590	-46.146	187.075
90732	-43.545	358.031	-64.708	4.493	-38.504	298.928	-73.853	253.153	-71.985	185.222	-56.178	1.141	-23.280	336.859	-46.170	186.718
90733	-43.550	358.374	-64.690	5.074	-38.673	299.161	-74.092	252.905	-72.005	184.420	-56.174	1.587	-23.311	337.127	-46.193	186.360
90734	-43.554	358.717	-64.670	5.653	-38.841	299.396	-74.331	252.649	-72.022	183.617	-56.167	2.034	-23.342	337.396	-46.214	186.002
90735	-43.557	359.060	-64.648	6.232	-39.009	299.632	-74.569	252.386	-72.036	182.812	-56.160	2.480	-23.372	337.665	-46.234	185.644
90736	-43.559	359.403	-64.624	6.809	-39.176	299.868	-74.807	252.113	-72.046	182.006	-56.151	2.926	-23.403	337.934	-46.253	185.285
90737	-43.560	359.747	-64.598	7.386	-39.344	300.106	-75.045	251.832	-72.053	181.200	-56.140	3.372	-23.433	338.203	-46.271	184.926
90738	-43.560	0.090	-64.569	7.962	-39.510	300.345	-75.282	251.542	-72.057	180.393	-56.128	3.818	-23.462	338.472	-46.287	184.567
90739	-43.559	0.433	-64.538	8.536	-39.677	300.585	-75.519	251.241	-72.057	179.586	-56.115	4.264	-23.492	338.741	-46.302	184.208
90740	-43.558	0.776	-64.506	9.109	-39.843	300.826	-75.756	250.931	-72.053	178.779	-56.100	4.709	-23.520	339.011	-46.316	183.849
90741	-43.555	1.119	-64.471	9.681	-40.008	301.068	-75.992	250.610	-72.046	177.972	-56.083	5.153	-23.549	339.280	-46.329	183.489
90742	-43.552	1.462	-64.434	10.251	-40.173	301.311	-76.227	250.278	-72.036	177.166	-56.065	5.598	-23.577	339.549	-46.340	183.129
90743	-43.547	1.805	-64.395	10.819	-40.338	301.555	-76.462	249.933	-72.022	176.362	-56.046	6.042	-23.605	339.819	-46.350	182.770
90744	-43.542	2.148	-64.353	11.386	-40.502	301.800	-76.697	249.577	-72.005	175.558	-56.025	6.485	-23.632	340.089	-46.359	182.410
90745	-43.536	2.491	-64.310	11.952	-40.666	302.046	-76.931	249.208	-71.984	174.757	-56.002	6.928	-23.660	340.359	-46.367	182.049
