Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90759	-44.52	6.63	-64.73	19.18	-43.43	304.04	-79.09	238.22	-70.39	166.37	-56.74	12.43	-25.08	343.43	-45.24	177.86
90760	-44.5	6.98	-64.66	19.73	-43.59	304.31	-79.3	237.53	-70.33	165.65	-56.7	12.88	-25.1	343.7	-45.23	177.5
90761	-44.48	7.32	-64.59	20.28	-43.75	304.57	-79.51	236.81	-70.27	164.94	-56.66	13.32	-25.12	343.97	-45.22	177.15
90762	-44.46	7.67	-64.51	20.84	-43.9	304.83	-79.72	236.06	-70.21	164.23	-56.61	13.76	-25.14	344.25	-45.21	176.8
90763	-44.44	8.02	-64.44	21.38	-44.06	305.1	-79.93	235.28	-70.14	163.52	-56.56	14.21	-25.16	344.52	-45.2	176.45
90764	-44.42	8.36	-64.36	21.93	-44.22	305.37	-80.13	234.47	-70.07	162.82	-56.52	14.65	-25.18	344.79	-45.18	176.1
90765	-44.4	8.71	-64.28	22.47	-44.38	305.64	-80.34	233.63	-70	162.13	-56.47	15.09	-25.21	345.07	-45.17	175.74
90766	-44.37	9.05	-64.19	23.01	-44.53	305.91	-80.54	232.75	-69.92	161.44	-56.42	15.53	-25.23	345.34	-45.16	175.39
90767	-44.35	9.4	-64.11	23.54	-44.69	306.18	-80.73	231.83	-69.84	160.76	-56.36	15.97	-25.25	345.61	-45.14	175.04
90768	-44.32	9.75	-64.02	24.07	-44.84	306.45	-80.93	230.87	-69.76	160.08	-56.31	16.4	-25.26	345.89	-45.12	174.69
90769	-44.3	10.09	-63.93	24.6	-45	306.72	-81.12	229.86	-69.67	159.41	-56.25	16.84	-25.28	346.16	-45.1	174.34
90770	-44.27	10.43	-63.84	25.13	-45.15	307	-81.31	228.82	-69.59	158.74	-56.2	17.27	-25.3	346.43	-45.08	173.99
90771	-44.24	10.78	-63.75	25.65	-45.31	307.28	-81.5	227.72	-69.5	158.08	-56.14	17.71	-25.32	346.71	-45.06	173.64
90772	-44.21	11.12	-63.66	26.17	-45.46	307.55	-81.68	226.58	-69.41	157.42	-56.08	18.14	-25.34	346.98	-45.04	173.29
90773	-44.18	11.47	-63.56	26.68	-45.61	307.83	-81.86	225.39	-69.31	156.77	-56.02	18.57	-25.36	347.26	-45.02	172.94
90774	-44.15	11.81	-63.46	27.19	-45.76	308.11	-82.04	224.14	-69.21	156.13	-55.96	19	-25.37	347.53	-44.99	172.59
90775	-44.12	12.15	-63.37	27.7	-45.92	308.4	-82.21	222.84	-69.11	155.49	-55.89	19.43	-25.39	347.8	-44.97	172.24
90776	-44.09	12.49	-63.27	28.21	-46.07	308.68	-82.38	221.47	-69.01	154.85	-55.83	19.85	-25.41	348.08	-44.94	171.89
90777	-44.05	12.84	-63.16	28.71	-46.22	308.97	-82.54	220.05	-68.91	154.23	-55.76	20.28	-25.42	348.35	-44.91	171.55
90778	-44.02	13.18	-63.06	29.21	-46.37	309.25	-82.7	218.56	-68.8	153.61	-55.69	20.7	-25.44	348.63	-44.88	171.2
90779	-43.98	13.52	-62.95	29.7	-46.52	309.54	-82.85	217.01	-68.69	152.99	-55.63	21.13	-25.45	348.9	-44.85	170.85
