Zeit [min]	Barrow Azimuth [Deg]	Barrow Altitude [Deg]	Denver Azimuth [Deg]	Denver Altitude [Deg]	Kaxgar Azimuth [Deg]	Kaxgar Altitude [Deg]	Lima Azimuth [Deg]	Lima Altitude [Deg]	Melbourne Azimuth [Deg]	Melbourne Altitude [Deg]	Potsdam Azimuth [Deg]	Potsdam Altitude [Deg]	Shanghai Azimuth [Deg]	Shanghai Altitude [Deg]	Singapur Azimuth [Deg]	Singapur Altitude [Deg]
298658	113.572	28.044	111.613	52.233	79.925	18.747	51.481	40.086	42.763	20.362	122.25	45.173	101.415	55.705	67.153	34.859
298659	113.826	28.118	111.865	52.412	80.072	18.937	51.3	40.277	42.556	20.496	122.53	45.302	101.608	55.914	67.091	35.09
298660	114.08	28.191	112.119	52.59	80.22	19.127	51.118	40.468	42.348	20.63	122.812	45.43	101.801	56.124	67.028	35.32
298661	114.334	28.264	112.374	52.768	80.367	19.317	50.934	40.658	42.14	20.763	123.094	45.558	101.997	56.333	66.964	35.55
298662	114.589	28.337	112.631	52.946	80.515	19.507	50.749	40.847	41.931	20.895	123.378	45.686	102.194	56.542	66.9	35.78
298663	114.844	28.41	112.89	53.123	80.663	19.698	50.563	41.037	41.722	21.027	123.662	45.813	102.392	56.751	66.835	36.01
298664	115.099	28.482	113.15	53.3	80.81	19.888	50.375	41.225	41.512	21.159	123.948	45.94	102.592	56.96	66.769	36.239
298665	115.354	28.555	113.412	53.476	80.958	20.079	50.185	41.413	41.302	21.29	124.234	46.066	102.794	57.169	66.702	36.469
298666	115.61	28.627	113.676	53.652	81.106	20.269	49.995	41.601	41.091	21.42	124.522	46.192	102.998	57.377	66.635	36.698
298667	115.866	28.7	113.942	53.828	81.254	20.46	49.802	41.788	40.879	21.55	124.811	46.318	103.203	57.585	66.567	36.928
298668	116.122	28.772	114.209	54.004	81.402	20.651	49.608	41.974	40.667	21.679	125.101	46.443	103.411	57.794	66.497	37.157
298669	116.378	28.843	114.478	54.179	81.55	20.842	49.413	42.16	40.454	21.808	125.391	46.567	103.62	58.002	66.427	37.386
298670	116.635	28.915	114.75	54.353	81.698	21.033	49.216	42.346	40.241	21.936	125.683	46.691	103.831	58.209	66.357	37.615
298671	116.891	28.987	115.023	54.528	81.846	21.224	49.018	42.531	40.027	22.063	125.976	46.815	104.044	58.417	66.285	37.844
298672	117.148	29.058	115.298	54.702	81.995	21.415	48.818	42.715	39.812	22.19	126.27	46.938	104.258	58.624	66.212	38.073
298673	117.406	29.129	115.574	54.875	82.143	21.606	48.617	42.899	39.597	22.317	126.566	47.061	104.475	58.832	66.139	38.302
298674	117.663	29.201	115.853	55.048	82.292	21.797	48.414	43.082	39.382	22.443	126.862	47.183	104.694	59.039	66.065	38.53
298675	117.921	29.271	116.134	55.221	82.44	21.988	48.209	43.265	39.166	22.568	127.159	47.305	104.915	59.245	65.989	38.758
298676	118.179	29.342	116.417	55.394	82.589	22.18	48.003	43.447	38.949	22.693	127.458	47.427	105.138	59.452	65.913	38.987
298677	118.437	29.413	116.702	55.565	82.738	22.371	47.795	43.628	38.731	22.817	127.757	47.548	105.363	59.658	65.836	39.215
298678	118.695	29.483	116.989	55.737	82.887	22.563	47.586	43.809	38.513	22.94	128.058	47.668	105.59	59.865	65.758	39.443
298679	118.954	29.553	117.278	55.908	83.036	22.754	47.375	43.989	38.295	23.063	128.36	47.788	105.82	60.071	65.679	39.67
298680	119.213	29.623	117.569	56.079	83.185	22.946	47.162	44.169	38.075	23.185	128.663	47.907	106.052	60.276	65.599	39.898
298681	119.472	29.693	117.862	56.249	83.334	23.137	46.948	44.348	37.856	23.307	128.967	48.026	106.286	60.482	65.519	40.126
298682	119.732	29.763	118.157	56.418	83.484	23.329	46.732	44.526	37.635	23.428	129.272	48.145	106.522	60.687	65.437	40.353
298683	119.991	29.832	118.455	56.588	83.633	23.521	46.514	44.704	37.414	23.549	129.579	48.262	106.761	60.892	65.354	40.58
298684	120.251	29.902	118.755	56.756	83.783	23.713	46.295	44.881	37.193	23.669	129.886	48.38	107.003	61.097	65.27	40.807
298685	120.511	29.971	119.057	56.924	83.933	23.905	46.074	45.057	36.971	23.788	130.195	48.497	107.247	61.301	65.185	41.034
298686	120.772	30.04	119.361	57.092	84.083	24.096	45.851	45.233	36.748	23.907	130.505	48.613	107.493	61.505	65.1	41.261
298687	121.032	30.109	119.668	57.259	84.233	24.288	45.626	45.408	36.524	24.025	130.816	48.729	107.742	61.709	65.013	41.488
298688	121.293	30.177	119.977	57.426	84.383	24.48	45.4	45.583	36.3	24.142	131.128	48.844	107.994	61.913	64.925	41.714
298689	121.554	30.246	120.288	57.592	84.533	24.673	45.172	45.757	36.076	24.259	131.442	48.959	108.249	62.116	64.836	41.94
298690	121.816	30.314	120.602	57.758	84.684	24.865	44.942	45.93	35.851	24.375	131.756	49.073	108.506	62.319	64.746	42.167
298691	122.077	30.382	120.918	57.923	84.835	25.057	44.71	46.102	35.625	24.491	132.072	49.186	108.767	62.522	64.655	42.393
298692	122.339	30.45	121.237	58.088	84.986	25.249	44.477	46.274	35.399	24.606	132.389	49.299	109.03	62.724	64.562	42.618
298693	122.601	30.517	121.558	58.252	85.137	25.441	44.242	46.445	35.172	24.72	132.707	49.412	109.296	62.926	64.469	42.844
298694	122.864	30.585	121.882	58.415	85.288	25.634	44.004	46.615	34.944	24.834	133.027	49.523	109.565	63.128	64.375	43.069
298695	123.126	30.652	122.208	58.578	85.439	25.826	43.765	46.784	34.716	24.947	133.348	49.635	109.837	63.329	64.279	43.295
298696	123.389	30.719	122.537	58.741	85.591	26.018	43.525	46.953	34.487	25.059	133.669	49.745	110.113	63.53	64.182	43.52
298697	123.652	30.786	122.868	58.902	85.743	26.211	43.282	47.121	34.258	25.171	133.992	49.855	110.392	63.731	64.084	43.745
298698	123.916	30.852	123.202	59.063	85.894	26.403	43.037	47.288	34.028	25.282	134.317	49.965	110.674	63.931	63.985	43.969
298699	124.179	30.919	123.539	59.224	86.047	26.596	42.791	47.455	33.797	25.392	134.642	50.074	110.959	64.131	63.885	44.194
298700	124.443	30.985	123.879	59.384	86.199	26.788	42.542	47.621	33.566	25.502	134.969	50.182	111.248	64.331	63.783	44.418
298701	124.708	31.051	124.221	59.543	86.352	26.981	42.292	47.786	33.335	25.611	135.297	50.29	111.541	64.53	63.68	44.642
298702	124.972	31.117	124.566	59.702	86.504	27.174	42.039	47.95	33.102	25.72	135.626	50.397	111.837	64.729	63.576	44.866
298703	125.237	31.182	124.914	59.86	86.657	27.366	41.785	48.113	32.869	25.827	135.957	50.503	112.137	64.927	63.471	45.09
298704	125.502	31.248	125.265	60.017	86.81	27.559	41.529	48.276	32.636	25.934	136.289	50.609	112.44	65.125	63.364	45.313
298705	125.767	31.313	125.619	60.173	86.964	27.752	41.271	48.437	32.402	26.041	136.622	50.714	112.748	65.322	63.256	45.537
298706	126.032	31.378	125.975	60.329	87.118	27.944	41.01	48.598	32.167	26.147	136.956	50.819	113.059	65.519	63.147	45.76
298707	126.298	31.443	126.335	60.484	87.271	28.137	40.748	48.758	31.932	26.252	137.291	50.922	113.374	65.716	63.036	45.983
298708	126.564	31.507	126.697	60.639	87.426	28.33	40.484	48.918	31.696	26.356	137.628	51.026	113.694	65.912	62.924	46.205
298709	126.83	31.571	127.063	60.793	87.58	28.523	40.217	49.076	31.459	26.459	137.966	51.128	114.018	66.108	62.811	46.428
298710	127.096	31.635	127.431	60.946	87.734	28.716	39.949	49.233	31.222	26.562	138.305	51.23	114.346	66.303	62.696	46.65
298711	127.363	31.699	127.803	61.098	87.889	28.908	39.679	49.39	30.984	26.665	138.646	51.331	114.678	66.498	62.58	46.872
298712	127.63	31.763	128.178	61.249	88.044	29.101	39.406	49.546	30.746	26.766	138.988	51.432	115.016	66.692	62.462	47.094
298713	127.897	31.826	128.556	61.4	88.2	29.294	39.131	49.7	30.507	26.867	139.331	51.531	115.357	66.885	62.343	47.315
298714	128.165	31.889	128.937	61.55	88.355	29.487	38.855	49.854	30.268	26.967	139.675	51.63	115.704	67.078	62.223	47.536
298715	128.433	31.952	129.322	61.699	88.511	29.68	38.576	50.007	30.028	27.066	140.021	51.729	116.055	67.271	62.101	47.757
298716	128.701	32.015	129.709	61.847	88.667	29.873	38.295	50.159	29.787	27.165	140.367	51.827	116.411	67.463	61.977	47.978
298717	128.969	32.077	130.1	61.995	88.824	30.066	38.012	50.31	29.546	27.263	140.716	51.923	116.772	67.654	61.852	48.199
298718	129.237	32.139	130.495	62.141	88.981	30.259	37.727	50.46	29.304	27.36	141.065	52.02	117.139	67.844	61.725	48.419
298719	129.506	32.201	130.892	62.287	89.138	30.452	37.439	50.61	29.062	27.457	141.416	52.115	117.51	68.035	61.597	48.639
298720	129.775	32.263	131.293	62.432	89.295	30.645	37.15	50.758	28.819	27.553	141.768	52.21	117.887	68.224	61.467	48.859
298721	130.045	32.325	131.698	62.576	89.452	30.838	36.858	50.905	28.575	27.648	142.121	52.304	118.27	68.413	61.336	49.078
298722	130.314	32.386	132.106	62.719	89.61	31.031	36.564	51.051	28.331	27.742	142.475	52.397	118.658	68.601	61.203	49.297
298723	130.584	32.447	132.517	62.861	89.767	31.224	36.268	51.196	28.087	27.835	142.831	52.49	119.052	68.788	61.068	49.516
298724	130.854	32.508	132.932	63.002	89.92	31.417	35.97	51.34	27.841	27.928	143.188	52.582	119.452	68.975	60.931	49.735
298725	131.124	32.568	133.351	63.142	90.093	31.61	35.67	51.483	27.596	28.02	143.547	52.673	119.859	69.161	60.793	49.953
298726	131.395	32.628	133.773	63.281	90.249	31.803	35.367	51.626	27.349	28.112	143.906	52.763	120.271	69.346	60.653	50.171
298727	131.666	32.688	134.199	63.42	90.407	31.996	35.062	51.767	27.102	28.202	144.267	52.853	120.689	69.53	60.511	50.389
298728	131.937	32.748	134.629	63.557	90.567	32.189	34.755	51.906	26.855	28.292	144.629	52.941	121.115	69.714	60.368	50.606
298729	132.208	32.808	135.062	63.693	90.727	32.382	34.445	52.045	26.607	28.381	144.993	53.029	121.546	69.896	60.222	50.823
298730	132.48	32.867	135.499	63.829	90.887	32.575	34.134	52.183	26.358	28.469	145.357	53.116	121.985	70.078	60.075	51.04
298731	132.752	32.926	135.939	63.963	91.048	32.768	33.82	52.32	26.109	28.557	145.723	53.203	122.43	70.259	59.926	51.256
298732	133.024	32.985	136.384	64.096	91.21	32.96	33.504	52.455	25.859	28.643	146.091	53.288	122.883	70.439	59.775	51.472
298733	133.296	33.043	136.832	64.228	91.371	33.153	33.185	52.59	25.609	28.729	146.459	53.373	123.343	70.618	59.622	51.688
298734	133.569	33.101	137.284	64.359	91.533	33.346	32.865	52.723	25.358	28.814	146.829	53.457	123.81	70.797	59.467	51.904
298735	133.842	33.159	137.74	64.489	91.696	33.539	32.542	52.855	25.106	28.899	147.2	53.54	124.285	70.974	59.31	52.119
298736	134.115	33.217	138.2	64.617	91.859	33.732	32.216	52.986	24.854	28.982	147.572	53.622	124.768	71.15	59.151	52.333
298737	134.389	33.274	138.664	64.745	92.022	33.925	31.889	53.116	24.602	29.065	147.946	53.704	125.259	71.325	58.99	52.548
298738	134.662	33.331	139.132	64.871	92.186	34.118	31.559	53.244	24.349	29.147	148.32	53.784	125.758	71.499	58.826	52.762
298739	134.936	33.388	139.604	64.996	92.35	34.311	31.227	53.372	24.095	29.228	148.696	53.864	126.265	71.672	58.661	52.976
298740	135.211	33.445	140.079	65.12	92.514	34.504	30.892	53.498	23.841	29.309	149.074	53.943	126.78	71.844	58.494	53.189
298741	135.485	33.501	140.559	65.243	92.679	34.696	30.556	53.623	23.587	29.388	149.452	54.021	127.305	72.015	58.324	53.402
298742	135.76	33.557	141.043	65.364	92.845	34.889	30.217	53.747	23.331	29.467	149.832	54.098	127.838	72.185	58.152	53.614
298743	136.035	33.613	141.531	65.485	93.01	35.082	29.876	53.869	23.076	29.545	150.213	54.174	128.38	72.353	57.978	53.826
298744	136.31	33.669	142.022	65.603	93.177	35.275	29.532	53.99	22.819	29.622	150.595	54.25	128.932	72.52	57.802	54.038
298745	136.586	33.724	142.518	65.721	93.343	35.467	29.186	54.11	22.563	29.698	150.978	54.324	129.493	72.686	57.623	54.249
298746	136.862	33.779	143.018	65.837	93.511	35.66	28.838	54.229	22.305	29.774	151.362	54.398	130.064	72.85	57.442	54.46
298747	137.138	33.833	143.523	65.952	93.678	35.852	28.487	54.346	22.048	29.849	151.748	54.47	130.644	73.013	57.258	54.671
298748	137.414	33.888	144.031	66.066	93.846	36.045	28.135	54.462	21.789	29.922	152.135	54.542	131.235	73.175	57.072	54.881
298749	137.691	33.942	144.543	66.178	94.015	36.238	27.78	54.577	21.531	29.995	152.523	54.613	131.835	73.335	56.884	55.09
298750	137.967	33.996	145.06	66.289	94.184	36.43	27.422	54.69	21.271	30.068	152.912	54.683	132.447	73.494	56.693	55.299
298751	138.244	34.049	145.58	66.398	94.353	36.623	27.063	54.802	21.011	30.139	153.302	54.752	133.069	73.651	56.499	55.508
298752	138.522	34.102	146.105	66.506	94.523	36.815	26.701	54.912	20.751	30.21	153.694	54.82	133.701	73.806	56.303	55.716
298753	138.799	34.155	146.634	66.613	94.694	37.007	26.337	55.022	20.49	30.279	154.087	54.887	134.345	73.96	56.104	55.924
298754	139.077	34.208	147.167	66.717	94.865	37.2	25.971	55.129	20.229	30.348	154.48	54.953	135	74.112	55.903	56.131
298755	139.355	34.26	147.704	66.821	95.037	37.392	25.602	55.236	19.967	30.416	154.875	55.019	135.667	74.262	55.699	56.338
298756	139.634	34.312	148.246	66.923	95.209	37.584	25.231	55.341	19.705	30.483	155.271	55.083	136.345	74.411	55.492	56.544
298757	139.912	34.364	148.791	67.023	95.382	37.776	24.858	55.444	19.443	30.55	155.669	55.146	137.035	74.558	55.282	56.75
298758	140.191	34.416	149.341	67.122	95.555	37.968	24.483	55.546	19.179	30.615	156.067	55.209	137.737	74.702	55.07	56.955
298759	140.47	34.467	149.895	67.219	95.729	38.16	24.105	55.647	18.916	30.68	156.466	55.27	138.452	74.845	54.854	57.159
298760	140.75	34.518	150.453	67.315	95.903	38.352	23.726	55.746	18.652	30.743	156.866	55.331	139.178	74.986	54.636	57.363
298761	141.029	34.568	151.014	67.409	96.078	38.544	23.344	55.844	18.387	30.806	157.268	55.39	139.918	75.125	54.414	57.567
298762	141.309	34.619	151.58	67.501	96.253	38.736	22.96	55.94	18.122	30.868	157.67	55.448	140.669	75.262	54.19	57.77
298763	141.589	34.669	152.15	67.592	96.429	38.928	22.574	56.034	17.857	30.929	158.074	55.506	141.434	75.396	53.963	57.972
298764	141.87	34.718	152.724	67.681	96.606	39.12	22.186	56.128	17.591	30.99	158.478	55.562	142.212	75.528	53.732	58.174
298765	142.15	34.767	153.302	67.768	96.783	39.311	21.795	56.219	17.325	31.049	158.884	55.618	143.003	75.658	53.498	58.375
298766	142.431	34.817	153.884	67.853	96.961	39.503	21.403	56.309	17.058	31.107	159.291	55.672	143.807	75.786	53.261	58.576
298767	142.712	34.865	154.47	67.937	97.14	39.695	21.008	56.398	16.791	31.165	159.698	55.726	144.625	75.911	53.021	58.776
298768	142.994	34.914	155.06	68.019	97.319	39.886	20.612	56.485	16.523	31.222	160.107	55.778	145.456	76.033	52.777	58.975
298769	143.275	34.962	155.653	68.099	97.499	40.077	20.213	56.57	16.255	31.278	160.516	55.83	146.301	76.153	52.53	59.174
298770	143.557	35.009	156.251	68.177	97.679	40.269	19.813	56.653	15.987	31.332	160.926	55.88	147.159	76.271	52.279	59.372
298771	143.839	35.057	156.852	68.254	97.86	40.46	19.41	56.736	15.718	31.387	161.338	55.929	148.031	76.385	52.025	59.569
298772	144.121	35.104	157.456	68.328	98.042	40.651	19.006	56.816	15.449	31.44	161.75	55.978	148.916	76.497	51.768	59.766
298773	144.404	35.151	158.065	68.401	98.224	40.842	18.599	56.895	15.179	31.492	162.163	56.025	149.815	76.606	51.506	59.962
298774	144.687	35.197	158.677	68.472	98.407	41.033	18.191	56.972	14.909	31.543	162.577	56.071	150.728	76.712	51.241	60.157
298775	144.97	35.244	159.292	68.541	98.591	41.224	17.78	57.048	14.639	31.594	162.992	56.116	151.654	76.815	50.973	60.352
298776	145.253	35.289	159.911	68.608	98.776	41.415	17.368	57.121	14.368	31.643	163.408	56.16	152.594	76.915	50.7	60.546
298777	145.537	35.335	160.533	68.673	98.961	41.605	16.954	57.194	14.097	31.692	163.824	56.204	153.547	77.012	50.424	60.739
298778	145.82	35.38	161.159	68.736	99.147	41.796	16.539	57.264	13.826	31.74	164.242	56.246	154.513	77.106	50.144	60.931
298779	146.104	35.425	161.788	68.797	99.334	41.987	16.121	57.333	13.554	31.787	164.66	56.286	155.493	77.196	49.86	61.122
298780	146.389	35.47	162.42	68.856	99.521	42.177	15.702	57.4	13.282	31.833	165.079	56.326	156.485	77.283	49.572	61.313
298781	146.673	35.514	163.055	68.913	99.709	42.367	15.281	57.465	13.009	31.878	165.499	56.365	157.49	77.367	49.279	61.503
298782	146.958	35.558	163.693	68.968	99.898	42.557	14.858	57.529	12.736	31.922	165.919	56.403	158.507	77.447	48.983	61.692
298783	147.243	35.601	164.334	69.021	100.088	42.747	14.434	57.59	12.463	31.965	166.34	56.439	159.536	77.524	48.682	61.88
298784	147.528	35.644	164.978	69.072	100.279	42.937	14.008	57.651	12.19	32.007	166.762	56.475	160.577	77.597	48.377	62.067
298785	147.813	35.687	165.625	69.121	100.47	43.127	13.581	57.709	11.916	32.048	167.185	56.509	161.63	77.666	48.068	62.254
298786	148.099	35.73	166.274	69.167	100.662	43.317	13.152	57.765	11.642	32.089	167.608	56.542	162.693	77.732	47.754	62.439
298787	148.385	35.772	166.926	69.212	100.855	43.507	12.722	57.82	11.367	32.128	168.032	56.575	163.767	77.793	47.436	62.624
298788	148.671	35.814	167.58	69.254	101.049	43.696	12.29	57.873	11.093	32.167	168.456	56.606	164.85	77.851	47.113	62.807
298789	148.957	35.855	168.237	69.295	101.244	43.885	11.857	57.924	10.817	32.204	168.882	56.636	165.943	77.905	46.786	62.99
298790	149.244	35.896	168.895	69.333	101.439	44.075	11.422	57.974	10.542	32.241	169.307	56.665	167.046	77.955	46.454	63.172
298791	149.531	35.937	169.556	69.369	101.636	44.264	10.987	58.021	10.266	32.277	169.733	56.692	168.156	78.001	46.117	63.352
298792	149.818	35.978	170.219	69.402	101.833	44.453	10.55	58.067	9.991	32.312	170.16	56.719	169.274	78.043	45.775	63.532
298793	150.105	36.018	170.884	69.434	102.031	44.641	10.111	58.111	9.714	32.345	170.588	56.744	170.399	78.081	45.429	63.71
298794	150.392	36.058	171.55	69.463	102.23	44.83	9.672	58.153	9.438	32.378	171.015	56.769	171.531	78.114	45.077	63.888
298795	150.68	36.097	172.218	69.49	102.43	45.019	9.231	58.193	9.161	32.41	171.444	56.792	172.668	78.144	44.72	64.064
298796	150.968	36.136	172.888	69.515	102.631	45.207	8.789	58.231	8.884	32.441	171.873	56.814	173.811	78.169	44.359	64.24
298797	151.256	36.175	173.559	69.538	102.833	45.395	8.347	58.268	8.607	32.471	172.302	56.835	174.957	78.19	43.992	64.414
298798	151.544	36.213	174.231	69.558	103.036	45.583	7.903	58.302	8.33	32.501	172.731	56.855	176.107	78.206	43.619	64.587
298799	151.833	36.251	174.905	69.577	103.24	45.771	7.458	58.335	8.052	32.529	173.161	56.874	177.26	78.219	43.242	64.759
298800	152.121	36.289	175.579	69.592	103.445	45.959	7.013	58.366	7.774	32.556	173.592	56.891	178.415	78.227	42.859	64.929
298801	152.41	36.326	176.255	69.606	103.651	46.147	6.566	58.394	7.496	32.582	174.023	56.908	179.57	78.231	42.471	65.099
298802	152.7	36.363	176.931	69.618	103.857	46.334	6.119	58.422	7.218	32.608	174.454	56.923	180.727	78.23	42.077	65.267
298803	152.989	36.4	177.607	69.627	104.065	46.521	5.671	58.447	6.94	32.632	174.885	56.937	181.882	78.225	41.677	65.434
298804	153.278	36.436	178.285	69.634	104.274	46.709	5.223	58.47	6.661	32.655	175.317	56.95	183.036	78.216	41.272	65.599
298805	153.568	36.472	178.962	69.638	104.484	46.896	4.774	58.491	6.382	32.678	175.749	56.962	184.188	78.202	40.861	65.763
298806	153.858	36.507	179.64	69.641	104.695	47.082	4.324	58.511	6.103	32.699	176.181	56.973	185.338	78.185	40.444	65.926
298807	154.148	36.542	180.318	69.641	104.907	47.269	3.873	58.528	5.824	32.72	176.613	56.983	186.483	78.163	40.021	66.087
298808	154.439	36.577	180.995	69.638	105.121	47.455	3.423	58.544	5.545	32.74	177.046	56.991	187.624	78.136	39.593	66.247
298809	154.729	36.612	181.673	69.634	105.335	47.641	2.972	58.557	5.265	32.758	177.478	56.998	188.76	78.106	39.158	66.406
298810	155.02	36.646	182.35	69.627	105.55	47.827	2.52	58.569	4.985	32.776	177.911	57.005	189.89	78.071	38.717	66.563
298811	155.311	36.679	183.027	69.618	105.767	48.013	2.068	58.579	4.706	32.793	178.344	57.01	191.014	78.032	38.27	66.719
298812	155.602	36.713	183.703	69.607	105.985	48.199	1.616	58.587	4.426	32.808	178.777	57.013	192.13	77.99	37.817	66.873
298813	155.893	36.745	184.378	69.593	106.204	48.384	1.164	58.593	4.146	32.823	179.21	57.016	193.238	77.943	37.358	67.025
298814	156.185	36.778	185.053	69.578	106.424	48.57	0.711	58.597	3.866	32.837	179.643	57.018	194.338	77.892	36.892	67.176
298815	156.477	36.81	185.726	69.56	106.645	48.755	0.259	58.599	3.585	32.85	180.076	57.018	195.429	77.837	36.42	67.325
298816	156.769	36.842	186.399	69.539	106.868	48.939	359.806	58.599	3.305	32.862	180.51	57.017	196.51	77.778	35.941	67.473
298817	157.061	36.873	187.07	69.517	107.092	49.124	359.354	58.597	3.025	32.873	180.943	57.015	197.581	77.715	35.456	67.619
298818	157.353	36.905	187.739	69.492	107.317	49.308	358.901	58.593	2.744	32.883	181.376	57.012	198.642	77.649	34.964	67.763
298819	157.645	36.935	188.408	69.465	107.543	49.492	358.449	58.588	2.463	32.892	181.809	57.008	199.691	77.578	34.466	67.905
298820	157.938	36.965	189.074	69.436	107.771	49.676	357.997	58.58	2.183	32.9	182.242	57.003	200.729	77.504	33.961	68.046
298821	158.231	36.995	189.739	69.404	108	49.86	357.545	58.57	1.902	32.907	182.674	56.996	201.755	77.427	33.449	68.184
298822	158.524	37.025	190.402	69.371	108.23	50.043	357.093	58.559	1.621	32.913	183.107	56.988	202.769	77.346	32.931	68.321
298823	158.817	37.054	191.063	69.335	108.462	50.227	356.642	58.546	1.34	32.918	183.54	56.979	203.771	77.261	32.406	68.456
298824	159.11	37.083	191.722	69.297	108.695	50.41	356.191	58.53	1.06	32.922	183.972	56.969	204.76	77.173	31.874	68.589
298825	159.404	37.111	192.379	69.257	108.929	50.592	355.741	58.513	0.779	32.925	184.404	56.958	205.736	77.082	31.335	68.72
298826	159.697	37.139	193.033	69.215	109.165	50.775	355.291	58.494	0.498	32.927	184.836	56.946	206.699	76.988	30.79	68.849
298827	159.991	37.167	193.685	69.17	109.402	50.957	354.841	58.473	0.217	32.929	185.267	56.933	207.649	76.89	30.237	68.976
298828	160.285	37.194	194.334	69.124	109.641	51.139	354.393	58.45	359.936	32.929	185.699	56.918	208.585	76.789	29.678	69.101
298829	160.579	37.221	194.981	69.075	109.881	51.32	353.945	58.425	359.655	32.928	186.129	56.902	209.508	76.685	29.112	69.223
298830	160.874	37.247	195.625	69.024	110.123	51.502	353.498	58.398	359.374	32.927	186.56	56.885	210.417	76.579	28.539	69.344
298831	161.168	37.273	196.266	68.972	110.366	51.683	353.051	58.37	359.093	32.924	186.99	56.867	211.313	76.469	27.959	69.462
298832	161.463	37.299	196.905	68.917	110.61	51.864	352.605	58.339	358.812	32.92	187.42	56.848	212.195	76.356	27.373	69.578
298833	161.757	37.324	197.54	68.86	110.857	52.044	352.161	58.307	358.531	32.916	187.85	56.828	213.063	76.241	26.779	69.692
298834	162.052	37.349	198.172	68.801	111.104	52.224	351.717	58.273	358.251	32.91	188.279	56.807	213.918	76.123	26.179	69.803
298835	162.347	37.374	198.801	68.74	111.354	52.404	351.274	58.236	357.97	32.904	188.707	56.784	214.759	76.002	25.572	69.912
298836	162.643	37.398	199.427	68.677	111.605	52.584	350.832	58.198	357.689	32.896	189.136	56.76	215.586	75.879	24.958	70.019
298837	162.938	37.422	200.05	68.612	111.857	52.763	350.391	58.159	357.408	32.888	189.563	56.736	216.4	75.753	24.337	70.123
298838	163.233	37.445	200.669	68.545	112.112	52.942	349.952	58.117	357.128	32.878	189.99	56.71	217.201	75.625	23.71	70.225
298839	163.529	37.468	201.285	68.476	112.368	53.121	349.513	58.073	356.847	32.868	190.417	56.683	217.989	75.495	23.076	70.324
298840	163.825	37.49	201.897	68.406	112.625	53.299	349.076	58.028	356.567	32.856	190.843	56.654	218.763	75.362	22.436	70.421
298841	164.121	37.513	202.505	68.333	112.885	53.477	348.64	57.981	356.287	32.844	191.269	56.625	219.525	75.227	21.789	70.515
298842	164.417	37.534	203.11	68.259	113.146	53.654	348.205	57.931	356.006	32.831	191.693	56.595	220.274	75.09	21.136	70.606
298843	164.713	37.556	203.712	68.182	113.409	53.832	347.772	57.881	355.726	32.817	192.118	56.563	221.01	74.95	20.477	70.695
298844	165.009	37.577	204.309	68.104	113.673	54.009	347.34	57.828	355.446	32.801	192.541	56.531	221.733	74.809	19.811	70.781
298845	165.306	37.597	204.903	68.024	113.94	54.185	346.909	57.773	355.167	32.785	192.964	56.497	222.444	74.665	19.14	70.865
298846	165.602	37.617	205.493	67.942	114.208	54.361	346.48	57.717	354.887	32.768	193.387	56.462	223.143	74.52	18.462	70.945
298847	165.899	37.637	206.079	67.859	114.479	54.537	346.053	57.659	354.607	32.75	193.808	56.426	223.83	74.373	17.779	71.023
298848	166.196	37.656	206.661	67.773	114.751	54.713	345.627	57.599	354.328	32.731	194.229	56.389	224.505	74.224	17.09	71.098
298849	166.493	37.675	207.239	67.686	115.025	54.888	345.202	57.538	354.049	32.711	194.65	56.351	225.169	74.073	16.396	71.17
298850	166.79	37.694	207.814	67.597	115.301	55.062	344.779	57.474	353.769	32.69	195.069	56.312	225.821	73.92	15.696	71.239
298851	167.087	37.712	208.384	67.507	115.579	55.237	344.358	57.409	353.491	32.668	195.488	56.272	226.462	73.766	14.991	71.305
298852	167.384	37.73	208.95	67.415	115.859	55.411	343.939	57.342	353.212	32.645	195.906	56.231	227.092	73.61	14.281	71.368
298853	167.682	37.747	209.512	67.321	116.141	55.584	343.521	57.274	352.933	32.621	196.323	56.188	227.711	73.453	13.566	71.428
298854	167.979	37.764	210.07	67.225	116.425	55.757	343.105	57.204	352.655	32.596	196.739	56.145	228.32	73.294	12.847	71.485
298855	168.277	37.78	210.624	67.128	116.711	55.93	342.691	57.132	352.377	32.57	197.154	56.101	228.918	73.133	12.123	71.539
298856	168.574	37.796	211.174	67.029	116.999	56.102	342.278	57.058	352.099	32.544	197.569	56.055	229.506	72.971	11.395	71.59
298857	168.872	37.812	211.72	66.929	117.289	56.274	341.868	56.983	351.821	32.516	197.983	56.008	230.084	72.808	10.663	71.638
298858	169.17	37.827	212.261	66.827	117.582	56.445	341.459	56.906	351.543	32.487	198.396	55.961	230.652	72.643	9.927	71.683
298859	169.468	37.842	212.799	66.724	117.877	56.616	341.053	56.827	351.266	32.458	198.807	55.912	231.211	72.477	9.187	71.724
298860	169.766	37.857	213.332	66.619	118.174	56.786	340.648	56.747	350.989	32.427	199.218	55.862	231.76	72.31	8.445	71.763
298861	170.064	37.871	213.862	66.513	118.473	56.956	340.245	56.665	350.712	32.396	199.629	55.812	232.3	72.141	7.699	71.798
298862	170.362	37.884	214.387	66.405	118.774	57.125	339.844	56.582	350.436	32.363	200.038	55.76	232.831	71.971	6.95	71.83
