Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
426991	25.46626316	190.5811164	45.51688854	198.4755334	30.81696382	142.3669186	76.42200673	161.5298777	80.63387091	270.9130099	37.36065923	194.625819	6.67265813	170.0559281	63.16228928	345.7875677	
426992	25.43764667	190.8504981	45.44826736	198.8109915	30.93426718	142.6175326	76.49890788	162.5235131	80.38935248	270.837214	37.31140162	194.9274255	6.686090094	170.3020152	63.11304905	345.2563451	
426993	25.40832579	191.119722	45.3784625	199.1455415	31.05089838	142.8688791	76.57164977	163.5282952	80.14482931	270.7638819	37.26116735	195.2285775	6.699182652	170.5481274	63.06203687	344.726857	
426994	25.37830159	191.3887843	45.30747957	199.4791721	31.1668532	143.1209587	76.64016445	164.543771	79.90030194	270.6928336	37.20995928	195.5292675	6.711935525	170.794264	63.00926298	344.1991542	
426995	25.34757514	191.6576816	45.23532423	199.8118726	31.28212743	143.3737718	76.70438657	165.5694508	79.65577088	270.6239064	37.15778032	195.829488	6.72434844	171.0404243	62.95473787	343.6732861	
426996	25.31614757	191.9264103	45.16200221	200.1436324	31.39671682	143.6273189	76.76425365	166.6048085	79.4112366	270.5569524	37.10463345	196.1292317	6.736421133	171.2866078	62.89847233	343.1493009	
426997	25.28401999	192.194967	45.08751926	200.4744413	31.51061716	143.8816002	76.81970633	167.6492827	79.16669951	270.4918369	37.05052165	196.4284915	6.748153344	171.5328137	62.84047738	342.6272455	
426998	25.25119356	192.4633482	45.01188124	200.8042893	31.6238242	144.1366159	76.87068868	168.7022776	78.92216002	270.4284375	36.99544797	196.7272602	6.759544823	171.7790416	62.78076429	342.1071651	
426999	25.21766947	192.7315504	44.935094	201.1331666	31.73633368	144.3923663	76.91714845	169.7631642	78.67761849	270.3666418	36.9394155	197.0255309	6.770595325	172.0252907	62.71934455	341.5891038	
427000	25.18344891	192.9995702	44.85716348	201.4610638	31.84814136	144.6488514	76.95903728	170.8312825	78.43307524	270.3063474	36.88242735	197.3232966	6.781304612	172.2715605	62.65622991	341.073104	
427001	25.14853311	193.2674043	44.77809565	201.7879716	31.95924298	144.9060712	76.99631101	171.9059431	78.18853061	270.2474599	36.8244867	197.6205505	6.791672456	172.5178502	62.59143229	340.559207	
427002	25.1129233	193.5350492	44.69789653	202.1138813	32.06963426	145.1640256	77.02892986	172.9864295	77.94398487	270.1898929	36.76559674	197.9172861	6.801698632	172.7641593	62.52496386	340.0474525	
427003	25.07662077	193.8025016	44.61657219	202.4387841	32.17931095	145.4227144	77.05685863	174.0720008	77.69943831	270.1335666	36.70576073	198.2134967	6.811382926	173.010487	62.45683694	339.5378786	
427004	25.0396268	194.0697582	44.53412872	202.7626716	32.28826876	145.6821374	77.08006692	175.1618944	77.45489118	270.0784075	36.64498194	198.5091759	6.820725129	173.2568329	62.38706406	339.0305223	
427005	25.0019427	194.3368157	44.45057229	203.0855357	32.39650343	145.9422942	77.09852924	176.255329	77.21034372	270.0243478	36.58326369	198.8043174	6.82972504	173.5031962	62.31565793	338.5254188	
427006	24.96356981	194.6036709	44.36590906	203.4073686	32.50401067	146.2031845	77.11222522	177.3515078	76.96579615	269.9713246	36.52060934	199.0989149	6.838382464	173.7495762	62.24263141	338.0226022	
427007	24.92450948	194.8703206	44.28014525	203.7281626	32.61078621	146.4648076	77.12113964	178.4496219	76.7212487	269.9192796	36.45702227	199.3929623	6.846697214	173.9959724	62.16799754	337.5221049	
427008	24.88476308	195.1367615	44.19328713	204.0479105	32.71682575	146.7271631	77.12526259	179.5488538	76.47670156	269.8681589	36.3925059	199.6864535	6.854669111	174.2423841	62.09176947	337.0239581	
